metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
kappa_depth,1/s,売り,立会日,50ms,50,1,97,115,287014,0.45754716981132076,0.5,-0.042452830188679236,-0.09895899428934009,0.010551176327916575
kappa_depth,1/s,売り,立会日,50ms,50,2,115,133,361201,0.4637096774193548,0.5,-0.036290322580645185,-0.0992830882352941,0.027345350557705293
kappa_depth,1/s,売り,立会日,50ms,50,3,154,145,346485,0.5150501672240803,0.5,0.015050167224080258,-0.0403426546571708,0.08029057996903655
kappa_depth,1/s,売り,立会日,100ms,100,0,11213,8149,284154,0.5791240574320835,0.4952296190815237,0.08389443835055982,0.0736986348470995,0.092747938623403
kappa_depth,1/s,売り,立会日,100ms,100,1,14072,14915,287014,0.48545899886155863,0.4952296190815237,-0.009770620219965054,-0.015778469222244067,-0.0035168902660382443
kappa_depth,1/s,売り,立会日,100ms,100,2,17998,19816,361201,0.47596128418046224,0.4952296190815237,-0.019268334901061446,-0.025116171786152518,-0.014129501625768622
kappa_depth,1/s,売り,立会日,100ms,100,3,21007,22374,346485,0.4842442543970863,0.4952296190815237,-0.010985364684437393,-0.015852563789177595,-0.006407729877621176
kappa_depth,1/s,売り,立会日,100ms,100,4,10844,11445,153373,0.4865180133698237,0.4952296190815237,-0.008711605711699988,-0.015454253820134996,-0.0014790542335734909
kappa_depth,1/s,売り,立会日,100ms,100,5,7312,7503,112997,0.49355383057711777,0.4952296190815237,-0.0016757885044059173,-0.009316454724701226,0.005315411250971697
kappa_depth,1/s,売り,立会日,100ms,100,6,1020,872,11672,0.5391120507399577,0.4952296190815237,0.04388243165843403,0.02744748677902144,0.06472882534768593
kappa_depth,1/s,売り,立会日,500ms,500,0,72209,49698,284154,0.592328578342507,0.47905958675329546,0.1132689915892115,0.10202749420833203,0.12133008858996287
kappa_depth,1/s,売り,立会日,500ms,500,1,76242,99053,287014,0.43493539462049685,0.47905958675329546,-0.04412419213279861,-0.04998734429678811,-0.037337805002439925
kappa_depth,1/s,売り,立会日,500ms,500,2,97946,116812,361198,0.4560761415174289,0.47905958675329546,-0.02298344523586654,-0.030185301776953895,-0.017215932611631096
kappa_depth,1/s,売り,立会日,500ms,500,3,106975,118685,346483,0.47405388637773643,0.47905958675329546,-0.00500570037555903,-0.010507678889369034,-0.00007506752783875163
kappa_depth,1/s,売り,立会日,500ms,500,4,48576,53396,153369,0.47636606127172165,0.47905958675329546,-0.0026935254815738108,-0.00856454676736194,0.002704137401988772
kappa_depth,1/s,売り,立会日,500ms,500,5,35530,39032,112996,0.47651618787049704,0.47905958675329546,-0.00254339888279842,-0.008434987279430112,0.002332257824160035
kappa_depth,1/s,売り,立会日,500ms,500,6,4408,3841,11672,0.5343678021578373,0.47905958675329546,0.05530821540454184,0.043557539276696935,0.0699951047679894
kappa_depth,1/s,売り,立会日,1s,1000,0,96612,70746,284154,0.5772774531244398,0.47553000227676573,0.10174745084767406,0.09071341432656603,0.1104941256806124
kappa_depth,1/s,売り,立会日,1s,1000,1,93576,124751,287013,0.42860479922318356,0.47553000227676573,-0.046925203053582165,-0.052344979243787546,-0.04038074096943012
kappa_depth,1/s,売り,立会日,1s,1000,2,121714,147835,361197,0.4515468430600744,0.47553000227676573,-0.023983159216691308,-0.033122786595156224,-0.014874001578607857
kappa_depth,1/s,売り,立会日,1s,1000,3,127848,143040,346480,0.4719588907592806,0.47553000227676573,-0.003571111517485126,-0.011846898526252274,0.0012350642139698457
kappa_depth,1/s,売り,立会日,1s,1000,4,57875,63723,153368,0.4759535518676294,0.47553000227676573,0.00042354959086365884,-0.008895843869763886,0.005991763888754932
kappa_depth,1/s,売り,立会日,1s,1000,5,42388,46651,112994,0.4760610518986062,0.47553000227676573,0.0005310496218404737,-0.006511531975447465,0.005241133078419247
kappa_depth,1/s,売り,立会日,1s,1000,6,5117,4487,11671,0.532798833819242,0.47553000227676573,0.05726883154247625,0.04532867859353041,0.07143342565717894
kappa_depth,1/s,売り,立会日,3s,3000,0,132056,119213,284147,0.5255562763412917,0.47942911556053197,0.04612716078075968,0.041398932348419785,0.050688240415191856
kappa_depth,1/s,売り,立会日,3s,3000,1,117243,144303,286999,0.44826913812484226,0.47942911556053197,-0.031159977435689712,-0.0362202762300028,-0.026642602657911543
kappa_depth,1/s,売り,立会日,3s,3000,2,149412,173260,361181,0.46304606535429166,0.47942911556053197,-0.016383050206240313,-0.027010545787518887,-0.008506372762227668
kappa_depth,1/s,売り,立会日,3s,3000,3,151935,165323,346459,0.4789004532588619,0.47942911556053197,-0.0005286623016700909,-0.007783134801805769,0.005114856656497227
kappa_depth,1/s,売り,立会日,3s,3000,4,68672,73001,153361,0.4847218594933403,0.47942911556053197,0.005292743932808319,-0.0023965867177381333,0.010763791796323398
kappa_depth,1/s,売り,立会日,3s,3000,5,50599,53403,112989,0.4865194900098075,0.47942911556053197,0.007090374449275516,0.001459835133995287,0.01194600917363717
kappa_depth,1/s,売り,立会日,3s,3000,6,5753,5149,11670,0.5277013392038158,0.47942911556053197,0.04827222364328382,0.03679251735062572,0.06276093861418909
kappa_depth,1/s,売り,立会日,5s,5000,0,135522,132033,284143,0.5065201547345406,0.4807716848703224,0.025748469864218193,0.019859181035037303,0.03184786051077604
kappa_depth,1/s,売り,立会日,5s,5000,1,123783,146083,286992,0.4586831983280591,0.4807716848703224,-0.022088486542263308,-0.026510475310177445,-0.01810220811665703
kappa_depth,1/s,売り,立会日,5s,5000,2,157377,178356,361171,0.4687564225143194,0.4807716848703224,-0.012015262356002976,-0.0190653059817812,-0.005566992435844455
kappa_depth,1/s,売り,立会日,5s,5000,3,158552,169336,346450,0.48355536036695457,0.4807716848703224,0.0027836754966321653,-0.00366391299481877,0.008069917033745475
kappa_depth,1/s,売り,立会日,5s,5000,4,71057,74838,153356,0.48704205078995166,0.4807716848703224,0.006270365919629262,-0.00023053526337006957,0.010844333516035006
kappa_depth,1/s,売り,立会日,5s,5000,5,52291,54941,112984,0.487643613846613,0.4807716848703224,0.0068719289762905755,0.0011282719215514759,0.011730485565219018
kappa_depth,1/s,売り,立会日,5s,5000,6,5924,5272,11670,0.5291175419792783,0.4807716848703224,0.04834585710895589,0.03811890441331633,0.0616667789120113
kappa_depth,1/s,売り,立会日,10s,10000,0,136756,136771,284127,0.4999725804033971,0.484403359644874,0.015569220758523072,0.010802085057681298,0.02034011584606381
kappa_depth,1/s,売り,立会日,10s,10000,1,129994,146841,286970,0.46957212780175916,0.484403359644874,-0.014831231843114856,-0.01877586191760957,-0.010876864497552884
kappa_depth,1/s,売り,立会日,10s,10000,2,165092,181443,361149,0.4764078664492764,0.484403359644874,-0.007995493195597614,-0.015255379179360594,-0.0023318138353249094
kappa_depth,1/s,売り,立会日,10s,10000,3,163647,172283,346431,0.4871461316345667,0.484403359644874,0.002742771989692694,-0.003130381031131645,0.007342488345451974
kappa_depth,1/s,売り,立会日,10s,10000,4,73240,75812,153347,0.4913721385825081,0.484403359644874,0.00696877893763409,0.0019273107584113092,0.011787368671605746
kappa_depth,1/s,売り,立会日,10s,10000,5,53486,56259,112976,0.4873661670235546,0.484403359644874,0.0029628073786805986,-0.0021368762316349432,0.007323541927291059
kappa_depth,1/s,売り,立会日,10s,10000,6,5851,5541,11667,0.5136060393258427,0.484403359644874,0.02920267968096868,0.016561073064580132,0.04248340394080295
kappa_depth,1/s,売り,立会日,30s,30000,0,138891,140073,284054,0.49788144706843895,0.4894516365763653,0.008429810492073642,0.004427086696214481,0.01247858623218883
kappa_depth,1/s,売り,立会日,30s,30000,1,135314,146873,286901,0.47951890058719926,0.4894516365763653,-0.009932735989166053,-0.013998147020545757,-0.0065726334536312814
kappa_depth,1/s,売り,立会日,30s,30000,2,171750,182914,361055,0.4842611598583448,0.4894516365763653,-0.005190476718020531,-0.010700306218172983,-0.0010080755399132601
kappa_depth,1/s,売り,立会日,30s,30000,3,168016,173473,346337,0.4920099915370627,0.4894516365763653,0.0025583549606973954,-0.001818048326903665,0.006225076932652911
kappa_depth,1/s,売り,立会日,30s,30000,4,74832,76484,153298,0.49454122498612174,0.4894516365763653,0.005089588409756429,0.00019631617002346404,0.009477132699127746
kappa_depth,1/s,売り,立会日,30s,30000,5,54937,56487,112935,0.4930445864445721,0.4894516365763653,0.003592949868206796,-0.0015349047601269205,0.008252621649890103
kappa_depth,1/s,売り,立会日,30s,30000,6,5910,5658,11664,0.5108921161825726,0.4894516365763653,0.021440479606207263,0.010256419286992167,0.0330211280286967
kappa_depth,1/s,売り,立会日,50s,50000,0,138980,141414,283987,0.49565967888043255,0.49099099099099097,0.004668687889441581,0.0000893155830626658,0.010130406555900662
kappa_depth,1/s,売り,立会日,50s,50000,1,137410,146220,286822,0.484469202834679,0.49099099099099097,-0.006521788156311992,-0.011778175042960063,-0.00223194180537095
kappa_depth,1/s,売り,立会日,50s,50000,2,173665,182720,360938,0.4872960422015517,0.49099099099099097,-0.0036949487894392674,-0.00868501449630234,0.000769586883446359
kappa_depth,1/s,売り,立会日,50s,50000,3,168904,173884,346227,0.4927360351004119,0.49099099099099097,0.0017450441094209457,-0.0032262260110611047,0.006840963626003888
kappa_depth,1/s,売り,立会日,50s,50000,4,75282,76431,153250,0.49621324474501194,0.49099099099099097,0.005222253754020967,-0.0003238552813737776,0.010454396121052185
kappa_depth,1/s,売り,立会日,50s,50000,5,55142,56609,112900,0.49343630034630565,0.49099099099099097,0.002445309355314673,-0.002511985394235018,0.006932556093672414
kappa_depth,1/s,売り,立会日,50s,50000,6,5878,5699,11658,0.5077308456422216,0.49099099099099097,0.016739854651230623,0.0058899207639563946,0.029189765427534015
kappa_depth,1/s,売り,立会日,100s,100000,0,139497,141962,283846,0.4956210318376744,0.4919992328386525,0.00362179899902193,-0.0033148957241465058,0.009962482615490785
kappa_depth,1/s,売り,立会日,100s,100000,1,138560,145931,286671,0.48704528438509476,0.4919992328386525,-0.004953948453557733,-0.011107433438991007,0.0010592975120095754
kappa_depth,1/s,売り,立会日,100s,100000,2,174905,182887,360741,0.48884547446561133,0.4919992328386525,-0.00315375837304116,-0.00949963139168407,0.003339873083635532
kappa_depth,1/s,売り,立会日,100s,100000,3,169351,174395,346046,0.4926631873534528,0.4919992328386525,0.0006639545148003356,-0.006855842453192918,0.008377816753253884
kappa_depth,1/s,売り,立会日,100s,100000,4,75754,76429,153167,0.49778227528699,0.4919992328386525,0.005783042448337494,-0.0025811829732008806,0.013505688010987827
kappa_depth,1/s,売り,立会日,100s,100000,5,55328,56761,112832,0.493607758120779,0.4919992328386525,0.0016085252821265161,-0.005739104103386843,0.009216320991502509
kappa_depth,1/s,売り,立会日,100s,100000,6,5933,5659,11653,0.5118184955141477,0.4919992328386525,0.01981926267549522,0.008356613635490163,0.03254283822813677
kappa_depth,1/s,売り,閉場日,100ms,100,0,638,490,41792,0.5656028368794326,0.4901398018701972,0.0754630350092354,0.03800627625499296,0.10268652768343832
kappa_depth,1/s,売り,閉場日,100ms,100,1,938,987,42601,0.48727272727272725,0.4901398018701972,-0.002867074597469932,-0.02833369896510014,0.021942493411939552
kappa_depth,1/s,売り,閉場日,100ms,100,2,1316,1482,65155,0.47033595425303787,0.4901398018701972,-0.01980384761715931,-0.05898203501295204,0.002941814068149293
kappa_depth,1/s,売り,閉場日,100ms,100,3,1298,1380,50685,0.48469006721433905,0.4901398018701972,-0.0054497346558581294,-0.039591431992559004,0.019342022952837264
kappa_depth,1/s,売り,閉場日,100ms,100,4,599,645,16926,0.4815112540192926,0.4901398018701972,-0.008628547850904555,-0.04006809737849336,0.024009456404129194
kappa_depth,1/s,売り,閉場日,100ms,100,5,465,487,14662,0.4884453781512605,0.4901398018701972,-0.0016944237189366884,-0.03857678053870265,0.027969589312365612
kappa_depth,1/s,売り,閉場日,500ms,500,0,6845,5068,41792,0.5745823889868211,0.46711932366236075,0.10746306532446037,0.09071415783752279,0.1240717515429116
kappa_depth,1/s,売り,閉場日,500ms,500,1,8853,11454,42600,0.4359580440242281,0.46711932366236075,-0.031161279638132644,-0.058084177882570316,-0.0001405258076182363
kappa_depth,1/s,売り,閉場日,500ms,500,2,13115,17767,65154,0.4246810439738359,0.46711932366236075,-0.04243827968852487,-0.06597719189085922,-0.015190961129368411
kappa_depth,1/s,売り,閉場日,500ms,500,3,13201,13551,50684,0.49345843301435405,0.46711932366236075,0.026339109351993295,-0.015090960611159814,0.0624391965437385
kappa_depth,1/s,売り,閉場日,500ms,500,4,3937,4461,16926,0.46880209573708026,0.46711932366236075,0.0016827720747195074,-0.019204431203883106,0.020017551353365987
kappa_depth,1/s,売り,閉場日,500ms,500,5,3196,3818,14661,0.45566010835471915,0.46711932366236075,-0.011459215307641601,-0.03706346731063144,0.006615140415643757
kappa_depth,1/s,売り,閉場日,500ms,500,6,249,231,785,0.51875,0.46711932366236075,0.05163067633763929,0.012463023499698798,0.10954839885902024
kappa_depth,1/s,売り,閉場日,1s,1000,0,9610,7677,41792,0.5559090646150286,0.4501657282635441,0.10574333635148453,0.07224521226862861,0.13949599981756153
kappa_depth,1/s,売り,閉場日,1s,1000,1,11170,14823,42597,0.42973108144500444,0.4501657282635441,-0.02043464681853968,-0.04388248824978684,-0.005235523890958862
kappa_depth,1/s,売り,閉場日,1s,1000,2,17017,23708,65154,0.4178514426028238,0.4501657282635441,-0.03231428566072031,-0.06774256916681042,0.00811081091276746
kappa_depth,1/s,売り,閉場日,1s,1000,3,15283,18726,50683,0.4493810461936546,0.4501657282635441,-0.0007846820698895196,-0.01788744069278631,0.021489258202497374
kappa_depth,1/s,売り,閉場日,1s,1000,4,4717,5886,16924,0.44487409223804586,0.4501657282635441,-0.005291636025498259,-0.03195628705202397,0.01783591854880477
kappa_depth,1/s,売り,閉場日,1s,1000,5,4099,4876,14661,0.4567130919220056,0.4501657282635441,0.00654736365846148,-0.023332948374706442,0.029796170804407305
kappa_depth,1/s,売り,閉場日,1s,1000,6,307,279,785,0.5238907849829352,0.4501657282635441,0.07372505671939106,0.027696684930900307,0.1297890123372284
kappa_depth,1/s,売り,閉場日,3s,3000,0,17283,14115,41789,0.5504490731893751,0.47054874327248514,0.07990032991688995,0.06778597782240006,0.09657034832417356
kappa_depth,1/s,売り,閉場日,3s,3000,1,14994,18701,42593,0.4449918385517139,0.47054874327248514,-0.025556904720771212,-0.03759530932020725,-0.015783326622156757
kappa_depth,1/s,売り,閉場日,3s,3000,2,21965,27474,65152,0.44428487631222313,0.47054874327248514,-0.026263866960262006,-0.047440352059332495,-0.005892403957464999
kappa_depth,1/s,売り,閉場日,3s,3000,3,18881,21599,50681,0.4664278656126482,0.47054874327248514,-0.00412087765983693,-0.02252587017713165,0.00859645364532199
kappa_depth,1/s,売り,閉場日,3s,3000,4,6074,7189,16923,0.4579657694337631,0.47054874327248514,-0.012582973838722034,-0.03136721355007185,0.0037681016002116163
kappa_depth,1/s,売り,閉場日,3s,3000,5,5255,6014,14657,0.4663235424616204,0.47054874327248514,-0.004225200810864749,-0.022733369969029586,0.010120236250216682
kappa_depth,1/s,売り,閉場日,3s,3000,6,355,331,785,0.5174927113702624,0.47054874327248514,0.04694396809777729,-0.02143761542823112,0.11240332932971867
kappa_depth,1/s,売り,閉場日,5s,5000,0,19076,16410,41787,0.5375641097897762,0.4765870186377429,0.060977091152033314,0.04802671138268839,0.07685419701198883
kappa_depth,1/s,売り,閉場日,5s,5000,1,16092,19242,42587,0.4554253693326541,0.4765870186377429,-0.021161649305088792,-0.032655418774750575,-0.011614326932304703
kappa_depth,1/s,売り,閉場日,5s,5000,2,23742,28543,65148,0.45408817060342355,0.4765870186377429,-0.02249884803431934,-0.03933206952893136,-0.006514213523628453
kappa_depth,1/s,売り,閉場日,5s,5000,3,20088,22189,50678,0.47515197388651037,0.4765870186377429,-0.001435044751232517,-0.024826609762222993,0.015617988861802922
kappa_depth,1/s,売り,閉場日,5s,5000,4,6605,7472,16921,0.46920508631100377,0.4765870186377429,-0.007381932326739116,-0.02261209713893302,0.00631216477627841
kappa_depth,1/s,売り,閉場日,5s,5000,5,5586,6379,14655,0.4668616798997075,0.4765870186377429,-0.009725338738035383,-0.026286659952768836,0.0038014534288226326
kappa_depth,1/s,売り,閉場日,5s,5000,6,381,332,785,0.5343618513323983,0.4765870186377429,0.05777483269465544,0.008196191122467394,0.11584927479855046
kappa_depth,1/s,売り,閉場日,10s,10000,0,19198,17904,41784,0.5174384130235566,0.4833038955941517,0.03413451742940493,0.02551862407030717,0.04448255431236589
kappa_depth,1/s,売り,閉場日,10s,10000,1,17460,19963,42578,0.46655799909146783,0.4833038955941517,-0.016745896502683877,-0.02745435653601334,-0.007803509538313162
kappa_depth,1/s,売り,閉場日,10s,10000,2,26326,29752,65134,0.4694532615285852,0.4833038955941517,-0.013850634065566525,-0.029172655518157682,0.0012705337583976315
kappa_depth,1/s,売り,閉場日,10s,10000,3,21746,22924,50669,0.4868144168345646,0.4833038955941517,0.0035105212404129005,-0.01701851748589941,0.01740996419105814
kappa_depth,1/s,売り,閉場日,10s,10000,4,7179,7792,16916,0.4795270856990181,0.4833038955941517,-0.003776809895133626,-0.016758987234141966,0.006650438235761126
kappa_depth,1/s,売り,閉場日,10s,10000,5,6194,6641,14653,0.4825866770549279,0.4833038955941517,-0.0007172185392237962,-0.017192582370670697,0.015755589208291454
kappa_depth,1/s,売り,閉場日,10s,10000,6,404,337,784,0.5452091767881242,0.4833038955941517,0.06190528119397248,0.02526463158160102,0.1054817809992498
kappa_depth,1/s,売り,閉場日,30s,30000,0,20063,19390,41750,0.508529135933896,0.49349339251487945,0.01503574341901659,0.005891877564966711,0.023773939212769706
kappa_depth,1/s,売り,閉場日,30s,30000,1,19459,20729,42564,0.48419926346172987,0.49349339251487945,-0.00929412905314958,-0.020517855013769088,-0.0007855666994122783
