metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
kappa_depth,1/s,売り,立会日,50ms,50,0,193,143,413008,0.5744047619047619,0.48476538695917126,0.0896393749455906,0.03843638528106258,0.13940749579782058
kappa_depth,1/s,売り,立会日,50ms,50,1,259,306,426762,0.4584070796460177,0.48476538695917126,-0.026358307313153584,-0.07048593833761735,0.01258600401146104
kappa_depth,1/s,売り,立会日,50ms,50,2,336,387,558196,0.46473029045643155,0.48476538695917126,-0.020035096502739713,-0.05880964430429599,0.018121810692527107
kappa_depth,1/s,売り,立会日,50ms,50,3,401,448,642301,0.4723203769140165,0.48476538695917126,-0.012445010045154747,-0.043186702545227336,0.024567936028804496
kappa_depth,1/s,売り,立会日,50ms,50,4,241,240,318540,0.501039501039501,0.48476538695917126,0.01627411408032975,-0.028057304629854004,0.06876996657618228
kappa_depth,1/s,売り,立会日,50ms,50,5,146,144,236899,0.503448275862069,0.48476538695917126,0.01868288890289771,-0.03707547262265919,0.07008332120798665
kappa_depth,1/s,売り,立会日,100ms,100,0,24419,14653,413008,0.6249744062244063,0.4936605560119331,0.13131385021247316,0.11553911639124677,0.1460242196800418
kappa_depth,1/s,売り,立会日,100ms,100,1,28029,32978,426762,0.45943908076122414,0.4936605560119331,-0.034221475250708955,-0.041627285700473096,-0.026840144833959963
kappa_depth,1/s,売り,立会日,100ms,100,2,37146,43148,558196,0.46262485366278927,0.4936605560119331,-0.031035702349143823,-0.03569475995447679,-0.026181666207733795
kappa_depth,1/s,売り,立会日,100ms,100,3,47193,49288,642301,0.48914294006073733,0.4936605560119331,-0.004517615951195764,-0.007843765533579862,-0.0014994511194988563
kappa_depth,1/s,売り,立会日,100ms,100,4,26391,27125,318540,0.4931422378354137,0.4936605560119331,-0.0005183181765193723,-0.0038667299008147402,0.0024470649788494066
kappa_depth,1/s,売り,立会日,100ms,100,5,18087,18782,236899,0.4905747375844205,0.4936605560119331,-0.003085818427512599,-0.007851428297781075,0.0028008044620076015
kappa_depth,1/s,売り,立会日,100ms,100,6,1421,1404,15570,0.5030088495575221,0.4936605560119331,0.009348293545589026,-0.004190366061654676,0.023583719386761768
kappa_depth,1/s,売り,立会日,500ms,500,0,124086,75412,413008,0.621991197906746,0.4931387647912403,0.12885243311550565,0.11342608828447621,0.143613850028206
kappa_depth,1/s,売り,立会日,500ms,500,1,124852,162295,426760,0.4348016869408352,0.4931387647912403,-0.058337077850405095,-0.06733013355561453,-0.046018382173901556
kappa_depth,1/s,売り,立会日,500ms,500,2,170158,190454,558195,0.4718589508945903,0.4931387647912403,-0.021279813896650013,-0.0243041667036279,-0.018227382506715132
kappa_depth,1/s,売り,立会日,500ms,500,3,208491,217736,642301,0.4891548400265586,0.4931387647912403,-0.003983924764681679,-0.005975766943651403,-0.0017154938708936942
kappa_depth,1/s,売り,立会日,500ms,500,4,107706,110249,318540,0.4941662269734578,0.4931387647912403,0.0010274621822174979,-0.0013371480148104686,0.0033466307464187833
kappa_depth,1/s,売り,立会日,500ms,500,5,79098,81294,236898,0.49315427203351786,0.4931387647912403,0.000015507242277557065,-0.003162864360951069,0.0034587725206235236
