unit,k,G,df,effect,null_mean,null_p95,significant
約定単位,1,653331.3023374976,1,0.298742503388654,118.03397765602635,156.83404050536728,true
約定単位,2,30062.6636642241,2,0.10603744700820195,113.03636537044638,149.85911052946324,true
約定単位,3,13401.253689682053,4,0.08387823125496782,122.01873157325815,158.39113014130956,true
約定単位,4,7080.0236110892,8,0.0678285933608565,113.91173122526178,141.2014125286883,true
約定単位,5,4850.259923459998,16,0.058672392465517476,125.076041395965,165.34195483024956,true
約定単位,6,3085.166613747293,32,0.05458102783964469,134.1404111772908,161.75710067533183,true
約定単位,7,2445.6539116713775,64,0.05239141632227273,166.9448005039996,203.0415220817404,true
約定単位,8,1960.379120705741,128,0.08779635258358659,243.8118465114432,275.15429077484487,true
約定単位,9,1712.0010871062302,256,0.09252098192546765,360.9617078726227,405.1652974774037,true
約定単位,10,1783.778758601993,512,0.10031751737359212,618.5741500425808,654.9857822784603,true
約定単位,11,2207.310111983837,1024,0.14235439390821156,1122.8506314051187,1189.560045543204,true
約定単位,12,2910.7729017859956,2048,0.11085972850678733,2169.1411826782855,2261.443453206399,true
約定単位,13,5346.439272095166,4096,0.15002019502625358,4270.549150826982,4435.542753268949,true
約定単位,14,10019.256285991822,8192,0.11410256410256414,8318.75839838563,8471.733605633683,true
成行注文単位,1,137096.34052919116,1,0.1786956431660981,275.8837769059631,348.06013939800533,true
成行注文単位,2,26954.341878210405,2,0.10515357695696992,260.67959781422985,310.6783118305563,true
成行注文単位,3,11960.553609914266,4,0.08700312953980183,260.3729407108557,320.26759227096716,true
成行注文単位,4,6941.0060689811235,8,0.07635492915026554,257.76183191520533,290.04676826786135,true
成行注文単位,5,4523.722799097435,16,0.0701489790335117,251.5671839975204,298.61442177484497,true
成行注文単位,6,3389.897653412427,32,0.0645551684108007,260.65881991533234,302.5266566351686,true
成行注文単位,7,2459.4204890824626,64,0.060015618337090626,286.0239836159992,337.9098885902446,true
成行注文単位,8,2396.8611017018457,128,0.06262106492535546,362.8359070026769,415.36743262393026,true
成行注文単位,9,2124.2002579604714,256,0.06241024991336583,483.10705822851907,532.8367142903194,true
成行注文単位,10,2037.7424489609698,512,0.08300469483568074,714.8178209298944,787.3123304468204,true
成行注文単位,11,2335.9840927991436,1024,0.15852334419109665,1223.7737051592107,1313.680806504687,true
成行注文単位,12,3168.0646526422424,2048,0.1256848315881609,2253.441230241043,2348.6223175399323,true
成行注文単位,13,5310.049306702113,4096,0.11879956460892549,4299.996145078991,4430.782743836769,true
成行注文単位,14,9568.26926744339,8192,0.11784511784511786,8501.212659424315,8693.627559277405,true
