unit,k,G,df,effect,null_mean,null_p95,significant
約定単位,1,1271487.2178876065,1,0.3178109043372308,177.21033793416518,212.39875680239686,true
約定単位,2,71393.28446641017,2,0.12820964678610047,183.69315272111402,207.05291541628858,true
約定単位,3,30200.059362599437,4,0.09595759049774197,184.364921167689,208.25628809484746,true
約定単位,4,16136.457893514438,8,0.07715338441702954,184.4247826820866,216.27340003993206,true
約定単位,5,11033.47755357555,16,0.06674962637779416,202.01319674184873,240.97921136060467,true
約定単位,6,7258.292018447064,32,0.059504028069163134,214.82218609513592,252.1396679398204,true
約定単位,7,5675.10332896545,64,0.053367416464551676,239.350909319342,279.2406914510359,true
約定単位,8,4032.2940506674345,128,0.07016314550887126,298.0819620683271,352.03994243809217,true
約定単位,9,3647.003167397702,256,0.07812906193132962,424.00506510071665,485.67756175763543,true
約定単位,10,3171.214735905495,512,0.15230439210417973,682.2503868913468,729.990494403993,true
約定単位,11,3455.367034291143,1024,0.12357200321802092,1193.9844019613633,1263.6313719492593,true
約定単位,12,3908.070611652035,2048,0.10049261083743843,2197.4396518287904,2366.6819527821385,true
約定単位,13,5963.864553356441,4096,0.16516091334052507,4295.5080968747825,4442.381537979477,true
約定単位,14,10273.61747104166,8192,0.1277641277641277,8389.234185823898,8579.927043050882,true
成行注文単位,1,326127.54817107285,1,0.21190352497965614,580.4314522366078,647.376144189517,true
成行注文単位,2,72510.7737035023,2,0.13752994582024186,565.7739498271579,641.328292189726,true
成行注文単位,3,30681.83884655282,4,0.10590330469505138,554.6036838355293,657.3486564760949,true
成行注文単位,4,18227.051703101573,8,0.09411523998039237,532.9412972543765,590.2021046431645,true
成行注文単位,5,12129.302926848928,16,0.0877656373762278,538.2004863343348,590.7505765826744,true
成行注文単位,6,8755.040987954231,32,0.08149391968308897,543.293531216597,628.3337082077361,true
成行注文単位,7,6423.671537771077,64,0.07441494011549349,575.6755508181267,656.9095957939875,true
成行注文単位,8,5005.9762518820435,128,0.06311216359107746,640.7474089590156,717.3377820013292,true
成行注文単位,9,4349.756993238541,256,0.06546998099921131,755.757800949593,829.2813253191941,true
成行注文単位,10,3984.0707138634834,512,0.08060213377119152,970.5728291018615,1048.339874201244,true
成行注文単位,11,4008.0535070149017,1024,0.11224560511908338,1494.3456432730195,1591.7335497098782,true
成行注文単位,12,4628.052127523825,2048,0.155498813576808,2500.1251090545315,2590.728774912194,true
成行注文単位,13,6540.759774869146,4096,0.11673247228356648,4577.018801871161,4709.4231018953105,true
成行注文単位,14,10242.821690925542,8192,0.12513368983957218,8632.703252323552,8831.689299001908,true
