unit,k,G,df,effect,null_mean,null_p95,significant
約定単位,1,747589.3893842666,1,0.38850769751960906,40.77261262353265,58.89501773476591,true
約定単位,2,14993.521716652585,2,0.11267935673232776,41.04550428696812,57.55603879332204,true
約定単位,3,7789.745976162555,4,0.08570827187127845,46.09493008348356,63.223746833934776,true
約定単位,4,4303.460706940259,8,0.09789714666720237,45.35989654928072,65.46500394552658,true
約定単位,5,3026.3211040213964,16,0.09402585762920451,56.95349446585883,76.09676759568728,true
約定単位,6,2398.5141056962043,32,0.13244261608751845,65.37428053370859,81.10774926014089,true
約定単位,7,1876.408823182549,64,0.10756147519008241,102.61418243241084,129.4743146683833,true
約定単位,8,1613.6430124451679,128,0.13501234567901232,166.9248658100739,190.812120501227,true
約定単位,9,1638.3394203338755,256,0.18389780154486035,297.7587945922161,337.5172818609331,true
約定単位,10,1611.2199301398168,512,0.08416738666141999,556.9229516402156,588.0767285072034,true
約定単位,11,2106.8952196649484,1024,0.10638666378003891,1073.1315588287111,1152.9206960806487,true
約定単位,12,3249.6458120836332,2048,0.10060021546196068,2072.092415990745,2155.278751530471,true
約定単位,13,5488.765109732188,4096,0.08034571062740076,4156.258625514845,4325.341929675063,true
約定単位,14,8211.79995630702,8192,0.11125740618828184,8321.510185764824,8500.47543351869,false
成行注文単位,1,95449.6153152507,1,0.23021004242713133,272.27819904630695,310.18723648843377,true
成行注文単位,2,32343.859590955373,2,0.1896189438414858,260.3879701016943,288.8374359055695,true
成行注文単位,3,12047.788941243685,4,0.12693088642269845,264.6742894754749,321.2257341944088,true
成行注文単位,4,6234.970860111136,8,0.10267702451936733,264.6965190473867,331.0636016169789,true
成行注文単位,5,3434.986181485101,16,0.08091329073234066,253.20970063802696,302.2231394230832,true
成行注文単位,6,2388.9216436976553,32,0.08325415862182978,273.52984098287965,307.7119629069546,true
成行注文単位,7,1786.003838028546,64,0.08012040760460964,307.04140885632586,349.4625745511476,true
成行注文単位,8,1360.5045089687521,128,0.11197253742934798,348.70628505111944,400.21178246881834,true
成行注文単位,9,1382.8738609004042,256,0.1358557473571524,489.69640319583476,555.368220830259,true
成行注文単位,10,1356.3086339727959,512,0.13476299210432202,721.1640529041988,810.16935868893,true
成行注文単位,11,1983.5730074192575,1024,0.11092201800166401,1234.1309326824028,1311.6520131126806,true
成行注文単位,12,2739.6755783718145,2048,0.15205765047135605,2268.5672380061346,2373.2220841235394,true
成行注文単位,13,4781.432149284485,4096,0.1424461942257218,4344.312522114319,4511.807399718122,true
成行注文単位,14,9930.222229615949,8192,0.10241998438719757,8594.363193399195,8787.529056511716,true
