unit,k,G,df,effect,null_mean,null_p95,significant
約定単位,1,4680560.906607492,1,0.3216532210243046,81.04710964039359,100.75326307628094,true
約定単位,2,250958.31584839814,2,0.13000045697078555,83.10493785557583,107.09225747289098,true
約定単位,3,100035.2522831657,4,0.09356030309023267,81.73643201997282,117.5722355405538,true
約定単位,4,51032.00220744884,8,0.0732816932934898,85.09829457166357,117.75704786246828,true
約定単位,5,32961.15800193967,16,0.06390438572106144,92.39672620944263,119.77150722165013,true
約定単位,6,21712.80256980192,32,0.05479853349785825,111.7263445806685,125.81623303407356,true
約定単位,7,16487.188446686472,64,0.04956228869109812,142.9259553032929,174.6281075851234,true
約定単位,8,12128.040928379472,128,0.04539138740560518,202.09524958501015,230.1534653236857,true
約定単位,9,10060.752173325043,256,0.057745793913427934,334.5245210708521,384.61471980762417,true
約定単位,10,8017.826789746967,512,0.13345233242912757,601.866665181676,638.6488197798318,true
約定単位,11,7562.880320440221,1024,0.1012641383898869,1124.1756197658792,1207.746660811703,true
約定単位,12,7088.781515529539,2048,0.13398810958463886,2108.8215231401673,2203.436779898877,true
約定単位,13,8752.080643482537,4096,0.13675339221122595,4170.105561811827,4338.460698452902,true
約定単位,14,12063.517548207557,8192,0.15738959428840155,8240.352293186803,8416.06068961784,true
成行注文単位,1,754111.1331105935,1,0.18073478094638368,256.0174202073069,308.6328557493178,true
成行注文単位,2,199165.22706423767,2,0.12024325170588102,257.2082010885227,307.75120045992435,true
成行注文単位,3,79351.56749667069,4,0.09020019602105717,265.5889815041992,305.4795914340973,true
成行注文単位,4,43145.41569157661,8,0.07647996176408275,274.2764996018558,318.6980138290069,true
成行注文単位,5,27167.261013778312,16,0.068460787094213,258.712405759896,290.60008330804004,true
成行注文単位,6,18537.035114405924,32,0.0609540250368491,296.4085007965579,344.2156214391294,true
成行注文単位,7,13877.721232719636,64,0.05934614814896186,321.8569016223034,379.4588916137481,true
成行注文単位,8,10935.53129467438,128,0.05553062571563783,394.51739213608835,451.72391726062835,true
成行注文単位,9,8700.589850958771,256,0.05300512064497406,506.4124830519181,577.8683830898113,true
成行注文単位,10,7569.618613095598,512,0.05137400191440594,757.076872752703,836.1255326332346,true
成行注文単位,11,6890.263743162119,1024,0.06673039546627035,1278.3961096033568,1355.6933932135817,true
成行注文単位,12,7214.849343734775,2048,0.0761772853185596,2271.7621468369052,2395.128030103306,true
成行注文単位,13,8576.821997178482,4096,0.1511627906976744,4352.462303442098,4513.949853539127,true
成行注文単位,14,12015.262856570274,8192,0.1559975889089813,8458.21686507732,8554.50490367565,true
