unit,k,G,df,effect,null_mean,null_p95,significant
約定単位,1,2330437.6218640637,1,0.33202921359341064,38.40186372606108,54.74991319437167,true
約定単位,2,58326.90788555989,2,0.09914897855743521,48.33086586348968,68.23343500296026,true
約定単位,3,27113.969750279917,4,0.0716122745158142,49.624893161246284,83.30421253621398,true
約定単位,4,15303.635582242197,8,0.0588665636051566,48.92087292147197,67.30272048815829,true
約定単位,5,10382.32757298544,16,0.05170985949268175,56.220935322748666,76.88064107916504,true
約定単位,6,7288.496522660946,32,0.07100926443807593,71.00954098081398,105.99581093183728,true
約定単位,7,5558.4304539661725,64,0.06085363936551502,102.58455251447421,141.1872878071939,true
約定単位,8,4119.735167989705,128,0.11300903896747677,169.14973620847934,201.0826758116436,true
約定単位,9,3584.6512874784603,256,0.11977603324867231,288.9740672493926,327.0607235927801,true
約定単位,10,3217.6581192724643,512,0.18405405405405406,562.2110773098232,640.6088747450668,true
約定単位,11,3392.595053400852,1024,0.10667726550079493,1095.2904864697234,1179.1595722988823,true
約定単位,12,3981.2906242659797,2048,0.10931951089845826,2087.313885989898,2198.6301093962634,true
約定単位,13,6221.480400578635,4096,0.13401486988847583,4137.034995280027,4291.258371811902,true
約定単位,14,10679.793280201555,8192,0.12145880820579616,8314.25864169055,8465.883785553695,true
成行注文単位,1,314520.4597019911,1,0.17779169100911163,196.7654465212084,227.21048391273047,true
成行注文単位,2,83085.38165138256,2,0.12556753788191155,183.3604991531895,204.8098826913092,true
成行注文単位,3,31348.468854793482,4,0.09186764267193881,198.14676627369755,243.496742965505,true
成行注文単位,4,16392.31144703423,8,0.07152884242254876,173.02179753619671,224.89608625799937,true
成行注文単位,5,9592.333553316708,16,0.06229909633525543,192.97885438663198,223.09143205717893,true
成行注文単位,6,7057.408763432235,32,0.05526114500712187,206.32827293065856,248.045930753338,true
成行注文単位,7,4941.3639208829045,64,0.050651105273956554,231.56091336117714,277.3525618249688,true
成行注文単位,8,3924.6218164065763,128,0.07530181348074727,295.2354777763403,331.5870676027191,true
成行注文単位,9,3678.749495714856,256,0.07981397459094752,424.18827485776893,466.7107394766555,true
成行注文単位,10,3149.3220074758274,512,0.14850091955006206,682.8317457189448,755.9685691718726,true
成行注文単位,11,3279.230080019017,1024,0.14418544081260581,1174.7148325112066,1258.9546302131398,true
成行注文単位,12,4266.503083199763,2048,0.17835887206455708,2209.6943778786645,2318.4132157762874,true
成行注文単位,13,6152.383265546946,4096,0.23336385836385842,4273.940307088232,4416.225333088849,true
成行注文単位,14,9974.623565120843,8192,0.14338581329682554,8362.449190159252,8565.405265462648,true
