unit,k,G,df,effect,null_mean,null_p95,significant
約定単位,1,4131580.838433975,1,0.3210139490008488,131.82027838306914,171.30746712573549,true
約定単位,2,238732.72920018798,2,0.13777008439101301,128.44016156142578,162.74737972130944,true
約定単位,3,90051.17764187553,4,0.09498585335652965,139.1205377281097,172.19949224869842,true
約定単位,4,45925.75827786398,8,0.07389831987355044,131.74464450838735,189.45277751402506,true
約定単位,5,30132.719407210127,16,0.06471923335653615,145.35453187299086,183.45614772026357,true
約定単位,6,19317.836912069324,32,0.055086141034082894,150.46564476046908,169.35282439001327,true
約定単位,7,15319.67587831773,64,0.051062421919135834,189.3469112402288,222.96453816578983,true
約定単位,8,10388.163806932193,128,0.055008874598070745,264.75887333850477,319.4299465260042,true
約定単位,9,9119.426920185499,256,0.07613131267161216,383.32285073633574,441.23301191728274,true
約定単位,10,7010.496149552488,512,0.09119278903991523,650.6778491380377,711.347217070929,true
約定単位,11,6835.714432103358,1024,0.13004528775908242,1175.8833174554268,1244.1268584919667,true
約定単位,12,6405.889194662246,2048,0.14954374664519587,2183.666721622077,2273.548176085365,true
約定単位,13,8124.078967666162,4096,0.12219620088472549,4232.189881942855,4344.966308214842,true
約定単位,14,12089.17381342885,8192,0.13903166444571358,8389.918654883862,8635.226063135658,true
成行注文単位,1,719420.2864408775,1,0.18590614839737368,438.30405214667155,508.491535318125,true
成行注文単位,2,169581.51756246886,2,0.12190001219824054,445.98653209141474,505.6439680528301,true
成行注文単位,3,67443.06270502505,4,0.0903670768494842,446.1882909245675,493.06870558072785,true
成行注文単位,4,36834.379635199126,8,0.07520109828639202,417.87950665377684,480.46945197666605,true
成行注文単位,5,22733.32977004676,16,0.0655096463274566,436.0119842297633,482.447370431926,true
成行注文単位,6,15620.149601166338,32,0.060574351241581476,436.7623165230111,475.87699851476657,true
成行注文単位,7,11720.798507705986,64,0.05636098364755654,464.58666133149916,528.8199421636737,true
成行注文単位,8,9094.268284861668,128,0.05264248582903666,553.5844810601136,623.1904373566274,true
成行注文単位,9,7752.162876364047,256,0.05585387925724672,664.1785225979551,709.6438762304297,true
成行注文単位,10,6620.484263799412,512,0.07123857708543918,900.5328956555592,965.3774984675869,true
成行注文単位,11,6414.0098925762595,1024,0.08248661527697548,1416.3815790701158,1504.9877147552554,true
成行注文単位,12,6763.525692306033,2048,0.16015410884627368,2417.9714064463114,2525.9768776159194,true
成行注文単位,13,8067.476455057662,4096,0.21157250925478832,4481.758382062957,4615.392218560796,true
成行注文単位,14,11624.178246055608,8192,0.22485847673605625,8558.962807342208,8781.548471029797,true
