feat,bin_i,bin,n_full,n_sub,fill_rate,spread_bp_mean_full,spread_bp_med,spread_bp_q1,spread_bp_q3,qsize_mean_full,qsize_med,qsize_q1,qsize_q3,fillsz_mean_full,fillsz_med,fillsz_q1,fillsz_q3
OBI,0,−1.00〜−0.75,3314930,99018,0.07361905077935281,3.174058681240924,2.7168903252150245,1.4679668663747962,4.302063524187879,40.65677789420085,16.646,7.664,47.52974999999999,0.33774560247124075,0.0,0.0,0.0
OBI,1,−0.75〜−0.50,1701119,51223,0.061612973577980144,3.050554602834003,2.6637979611699287,1.631311866101122,4.049363671799901,19.50607412824565,10.414,3.1835,20.688000000000002,0.2658148095459549,0.0,0.0,0.0
OBI,2,−0.50〜−0.25,1430430,42624,0.05772599847598275,3.040094718653163,2.628688378612347,1.6672658415505732,3.9388742978838747,15.848796010290343,8.031,3.3760000000000003,16.12825,0.24810189663248472,0.0,0.0,0.0
OBI,3,−0.25〜0,1469149,44143,0.05715962097785861,3.0472395220452175,2.627890679747822,1.691008184283112,3.953052115653365,14.131907755442791,6.655,3.699,16.514499999999998,0.22219452758025388,0.0,0.0,0.0
OBI,4,ちょうど 0,548374,16379,0.01575749397309136,3.8318907050922,3.4538337554676093,2.601967052337246,4.5880421461696415,10.38906692877297,5.55,2.412,19.276,0.08583147085748112,0.0,0.0,0.0
OBI,5,0〜+0.25,1583239,47222,0.056000389075812305,3.1207858078401283,2.681169732526503,1.7896522308868883,4.028827445591968,13.556198794371515,6.061,3.583,15.746,0.21068748306478033,0.0,0.0,0.0
OBI,6,+0.25〜+0.50,1416486,42627,0.057648293029369864,3.0459242557793695,2.6513142943713803,1.6707507241365143,3.9582690489728374,15.85750686134686,7.814,3.564,15.902000000000001,0.24459858904359283,0.0,0.0,0.0
OBI,7,+0.50〜+0.75,1702859,50774,0.06007543783719028,3.0670305304146352,2.673822324750284,1.6417047736561652,4.022160187595096,20.143526835737,10.586,3.419,18.17875,0.2681925585148352,0.0,0.0,0.0
OBI,8,+0.75〜+1.00,3351142,101223,0.07175165958350914,3.239321321681686,2.768401886772266,1.5119280322255186,4.37040790688588,43.37005330837361,15.705,8.103,50.0985,0.3651491285657066,0.0,0.0,0.0
OFI_z,0,< −2σ,496699,14684,0.014058816305247242,3.254856786378655,2.7292146691555903,1.5151802133755448,4.371286121134179,56.12349789710329,33.144499999999994,11.64175,75.30000000000001,0.8103637595404833,0.0,0.0,0.0
OFI_z,1,−2〜−1σ,818246,24333,0.013988458238720384,3.0445773312890685,2.662457448224452,1.430395913155556,4.094817780608918,46.93436401767433,29.884,13.64,57.119,0.2717380653250972,0.0,0.0,0.0
OFI_z,2,−1〜−0.5σ,1257194,37930,0.018161874778276067,2.890061279704157,2.6118600342700407,1.4549687186438671,3.912406804181084,29.324590299507243,15.508000000000001,9.04975,31.68,0.2553470546311859,0.0,0.0,0.0
OFI_z,3,−0.5〜0σ,5439581,162653,0.08087258926744542,3.1779423317661104,2.7225171615811283,1.688832594468737,4.1659723379434395,20.227970377507997,8.116999999999999,3.4909999999999997,16.651,0.25440108475267637,0.0,0.0,0.0
OFI_z,4,ちょうど 0,75274,2166,0.005300635013417648,3.3740526553015977,2.939012662934182,2.1820684722656,3.950700920773647,7.904115458192821,2.7969999999999997,2.17625,7.1915000000000004,0.029007811462125013,0.0,0.0,0.0
OFI_z,5,0〜+0.5σ,5581328,167502,0.0875974320090129,3.1852381680640516,2.7212471086746817,1.700760617943626,4.1605991262737145,20.00070639945517,7.964,3.476,16.46575,0.24422950523602924,0.0,0.0,0.0
OFI_z,6,+0.5〜+1σ,1279622,38777,0.017598165708310735,2.921245813534019,2.6201489453911035,1.4668748231890525,3.921414846476386,29.475933872663983,15.555000000000001,9.039,31.721,0.2217630214235142,0.0,0.0,0.0
OFI_z,7,+1〜+2σ,829043,24897,0.013625348745481236,3.055312148244683,2.6916089092255913,1.432254368375878,4.16028441216909,48.34821789101567,29.547,13.526,58.981,0.24251441843185442,0.0,0.0,0.0
OFI_z,8,> +2σ,493241,14905,0.013762035191721695,3.2132724294943804,2.7447213127607264,1.4786610723996993,4.323984355037844,62.19554399977938,37.288,12.531,82.31,0.785242802200142,0.0,0.0,0.0
