feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t,lay,hor_ms
var_ask_depth,log1p,二乗,立会日,10ms,full,58751672.0,5.574827310712448e-11,0.005848228377858759,0.000034201775159592486,44.827225381216195,全窓,10
var_ask_depth,log1p,二乗,立会日,10ms,sub,58751672.0,5.574827310712448e-11,0.005848228377858759,0.000034201775159592486,44.827225381216195,全窓,10
var_ask_depth,log1p,二乗,立会日,20ms,full,58751672.0,1.3875504181649638e-10,0.005955499190671666,0.000035467970610090874,45.649495240596316,全窓,20
var_ask_depth,log1p,二乗,立会日,20ms,sub,58751672.0,1.3875504181649638e-10,0.005955499190671666,0.000035467970610090874,45.649495240596316,全窓,20
var_ask_depth,log1p,二乗,立会日,50ms,full,58751672.0,3.817570406144311e-10,0.009362380231212825,0.0000876541635938047,71.76545085951447,全窓,50
var_ask_depth,log1p,二乗,立会日,50ms,sub,58751672.0,3.817570406144311e-10,0.009362380231212825,0.0000876541635938047,71.76545085951447,全窓,50
var_ask_depth,log1p,二乗,立会日,100ms,full,58751672.0,-1.9714208693042672e-9,-0.0000333593235812523,1.1128444697986956e-9,-0.2556980076647007,全窓,100
var_ask_depth,log1p,二乗,立会日,100ms,sub,58751672.0,-1.9714208693042672e-9,-0.0000333593235812523,1.1128444697986956e-9,-0.2556980076647007,全窓,100
var_ask_depth,log1p,二乗,立会日,500ms,full,58751400.0,-9.460375524325295e-9,-0.00007159130238216324,5.125314576774332e-9,-0.5487434720510139,全窓,500
var_ask_depth,log1p,二乗,立会日,500ms,sub,11750254.0,-9.582908700503326e-9,-0.00007324683522921745,5.36509887109613e-9,-0.25108019451664776,全窓,500
var_ask_depth,log1p,二乗,立会日,1s,full,58751060.0,-2.745516385766519e-9,-0.000014691289892268252,2.158339986986633e-10,-0.11260761865279795,全窓,1000
var_ask_depth,log1p,二乗,立会日,1s,sub,5875067.0,-1.727810070157459e-8,-0.00009215667613273636,8.49285295583406e-9,-0.22337426793327644,全窓,1000
