feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t,lay,hor_ms
var_ask_depth,log1p,二乗,立会日,10ms,full,27641145.0,3.112428977407693e-10,0.0005618957098996534,3.157267888036354e-7,2.954158437460017,全窓,10
var_ask_depth,log1p,二乗,立会日,10ms,sub,27641145.0,3.112428977407693e-10,0.0005618957098996534,3.157267888036354e-7,2.954158437460017,全窓,10
var_ask_depth,log1p,二乗,立会日,20ms,full,27641145.0,-3.592159089186365e-8,-0.000017117843926349185,2.9302058068684967e-10,-0.0899967986935177,全窓,20
var_ask_depth,log1p,二乗,立会日,20ms,sub,27641145.0,-3.592159089186365e-8,-0.000017117843926349185,2.9302058068684967e-10,-0.0899967986935177,全窓,20
var_ask_depth,log1p,二乗,立会日,50ms,full,27641145.0,-3.396869230854666e-8,-0.000016187206120082485,2.6202564197403586e-10,-0.08510398487361738,全窓,50
var_ask_depth,log1p,二乗,立会日,50ms,sub,27641145.0,-3.396869230854666e-8,-0.000016187206120082485,2.6202564197403586e-10,-0.08510398487361738,全窓,50
var_ask_depth,log1p,二乗,立会日,100ms,full,27641145.0,-3.128094648760502e-8,-0.000014902458882662274,2.220832807494397e-10,-0.07834944621672638,全窓,100
var_ask_depth,log1p,二乗,立会日,100ms,sub,27641145.0,-3.128094648760502e-8,-0.000014902458882662274,2.220832807494397e-10,-0.07834944621672638,全窓,100
var_ask_depth,log1p,二乗,立会日,500ms,full,27641017.0,-1.4854575284005952e-7,-0.00003164827298555531,1.00161318296823e-9,-0.16638991869206757,全窓,500
var_ask_depth,log1p,二乗,立会日,500ms,sub,5528189.0,-1.3704794558844748e-7,-0.000030092297125782124,9.055463463063551e-10,-0.07075330058789824,全窓,500
var_ask_depth,log1p,二乗,立会日,1s,full,27640857.0,-1.48477300656151e-7,-0.0000223683089299695,5.003412443865533e-10,-0.11760042429144518,全窓,1000
var_ask_depth,log1p,二乗,立会日,1s,sub,2764069.0,-3.2835565787633667e-7,-0.00005096445815576144,2.5973759951103587e-9,-0.0847308756789643,全窓,1000
var_ask_depth,log1p,二乗,立会日,3s,full,27640217.0,-7.088033368617074e-7,-0.00006166012488851391,3.801971001267132e-9,-0.3241717080473367,全窓,3000
var_ask_depth,log1p,二乗,立会日,3s,sub,921319.0,-1.0237761729059278e-6,-0.00009346976061655169,8.736596149715477e-9,-0.08971719247273513,全窓,3000
var_ask_depth,log1p,二乗,立会日,5s,full,27639577.0,-1.502611195052595e-6,-0.00010125357629112662,1.0252286711743e-8,-0.5323240088479033,全窓,5000
var_ask_depth,log1p,二乗,立会日,5s,sub,552770.0,-1.6603804949781951e-6,-0.00011574433659174011,1.339675145306203e-8,-0.08605402725272707,全窓,5000
var_ask_depth,log1p,二乗,立会日,10s,full,27637977.0,-3.054867066049878e-6,-0.00014556119519428556,2.1188061546388903e-8,-0.7652418753081823,全窓,10000
var_ask_depth,log1p,二乗,立会日,10s,sub,276356.0,-3.278109860966145e-6,-0.000160329638015912,2.5705592826313378e-8,-0.0842843021121461,全窓,10000
var_ask_depth,log1p,二乗,立会日,30s,full,27631577.0,-2.5160602346633436e-6,-0.00011535293886236887,1.3306300504185411e-8,-0.6063613157568004,全窓,30000
var_ask_depth,log1p,二乗,立会日,30s,sub,92079.0,9.393541913424025e-7,0.01752862155472871,0.0003072525736088999,5.319735927858767,全窓,30000
var_ask_depth,log1p,二乗,立会日,50s,full,27625177.0,-1.6392018331808651e-6,-0.00007516032648465827,5.649074677280424e-9,-0.3950400959769983,全窓,50000
var_ask_depth,log1p,二乗,立会日,50s,sub,55224.0,-0.00001569523571282625,-0.000347658866347737,1.2086668735019367e-7,-0.08169761939969378,全窓,50000
var_ask_depth,log1p,二乗,立会日,100s,full,27609177.0,7.924819550644813e-7,0.00003951635423011014,1.5615422516395436e-9,0.2076364451697553,全窓,100000
var_ask_depth,log1p,二乗,立会日,100s,sub,27582.0,2.557513804626929e-6,0.020815276786997912,0.0004332757477193341,3.4575894639365004,全窓,100000
var_ask_depth,log1p,二乗,閉場日,10ms,full,12959644.0,3.348056487450769e-10,0.00026169748995248334,6.848557624743012e-8,0.9420979838183902,全窓,10
var_ask_depth,log1p,二乗,閉場日,10ms,sub,12959644.0,3.348056487450769e-10,0.00026169748995248334,6.848557624743012e-8,0.9420979838183902,全窓,10
var_ask_depth,log1p,二乗,閉場日,20ms,full,12959644.0,2.6987039700804804e-9,0.0016252941709033652,2.6415811419724573e-6,5.85098592938823,全窓,20
var_ask_depth,log1p,二乗,閉場日,20ms,sub,12959644.0,2.6987039700804804e-9,0.0016252941709033652,2.6415811419724573e-6,5.85098592938823,全窓,20
var_ask_depth,log1p,二乗,閉場日,50ms,full,12959644.0,1.5230171826455562e-8,0.005140654866514922,0.00002642633245662355,18.506346441952214,全窓,50
var_ask_depth,log1p,二乗,閉場日,50ms,sub,12959644.0,1.5230171826455562e-8,0.005140654866514922,0.00002642633245662355,18.506346441952214,全窓,50
var_ask_depth,log1p,二乗,閉場日,100ms,full,12959644.0,2.2309330849092072e-8,0.0039052970567439098,0.000015251345101412645,14.058982432494174,全窓,100
var_ask_depth,log1p,二乗,閉場日,100ms,sub,12959644.0,2.2309330849092072e-8,0.0039052970567439098,0.000015251345101412645,14.058982432494174,全窓,100
