feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t,lay,hor_ms
var_ask_depth,log1p,二乗,立会日,10ms,full,58751447.0,-2.556569866124399e-11,-0.00024432234486487954,5.969340820027313e-8,-1.8727183979686073,全窓,10
var_ask_depth,log1p,二乗,立会日,10ms,sub,58751447.0,-2.556569866124399e-11,-0.00024432234486487954,5.969340820027313e-8,-1.8727183979686073,全窓,10
var_ask_depth,log1p,二乗,立会日,20ms,full,58751447.0,-6.935723709466969e-11,-0.0005136299335003407,2.6381570858756435e-7,-3.936947825695082,全窓,20
var_ask_depth,log1p,二乗,立会日,20ms,sub,58751447.0,-6.935723709466969e-11,-0.0005136299335003407,2.6381570858756435e-7,-3.936947825695082,全窓,20
var_ask_depth,log1p,二乗,立会日,50ms,full,58751447.0,-1.180173308371337e-10,-0.0005902750555010286,3.484246411467424e-7,-4.524429054962589,全窓,50
var_ask_depth,log1p,二乗,立会日,50ms,sub,58751447.0,-1.180173308371337e-10,-0.0005902750555010286,3.484246411467424e-7,-4.524429054962589,全窓,50
var_ask_depth,log1p,二乗,立会日,100ms,full,58751447.0,-3.543311598968988e-8,-0.000059100300653220934,3.492845537301107e-9,-0.4530007982277816,全窓,100
var_ask_depth,log1p,二乗,立会日,100ms,sub,58751447.0,-3.543311598968988e-8,-0.000059100300653220934,3.492845537301107e-9,-0.4530007982277816,全窓,100
var_ask_depth,log1p,二乗,立会日,500ms,full,58751175.0,1.0133629654427595e-7,0.00007558992392343132,5.713836598750134e-9,0.5793915812514061,全窓,500
var_ask_depth,log1p,二乗,立会日,500ms,sub,11750217.0,2.591763503784808e-7,0.00019558594705059107,3.825386268367662e-8,0.6704409953966486,全窓,500
var_ask_depth,log1p,二乗,立会日,1s,full,58750835.0,4.952942056017555e-7,0.0002612503584374944,6.82517497837193e-8,2.0024603434725448,全窓,1000
var_ask_depth,log1p,二乗,立会日,1s,sub,5875059.0,-3.4507530527933255e-7,-0.00018240370582187903,3.3271111897554584e-8,-0.4421195374047669,全窓,1000
