feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t,lay,hor_ms
var_ask_depth,log1p,二乗,立会日,10ms,full,58751426.0,-5.375042098710331e-11,-0.00045805873173251124,2.098178017163967e-7,-3.510996613190106,全窓,10
var_ask_depth,log1p,二乗,立会日,10ms,sub,58751426.0,-5.375042098710331e-11,-0.00045805873173251124,2.098178017163967e-7,-3.510996613190106,全窓,10
var_ask_depth,log1p,二乗,立会日,20ms,full,58751426.0,-7.662689366276415e-11,-0.0004491038833076863,2.016942980020439e-7,-3.4423581467278352,全窓,20
var_ask_depth,log1p,二乗,立会日,20ms,sub,58751426.0,-7.662689366276415e-11,-0.0004491038833076863,2.016942980020439e-7,-3.4423581467278352,全窓,20
var_ask_depth,log1p,二乗,立会日,50ms,full,58751426.0,-8.041197455698683e-11,-0.00030123082325401844,9.07400088782937e-8,-2.308918625486167,全窓,50
var_ask_depth,log1p,二乗,立会日,50ms,sub,58751426.0,-8.041197455698683e-11,-0.00030123082325401844,9.07400088782937e-8,-2.308918625486167,全窓,50
var_ask_depth,log1p,二乗,立会日,100ms,full,58751426.0,-9.256700928447339e-11,-0.00011963192450312059,1.4311797360320346e-8,-0.9169724570302924,全窓,100
var_ask_depth,log1p,二乗,立会日,100ms,sub,58751426.0,-9.256700928447339e-11,-0.00011963192450312059,1.4311797360320346e-8,-0.9169724570302924,全窓,100
var_ask_depth,log1p,二乗,立会日,500ms,full,58751154.0,2.514108733168732e-10,0.00014311269802086887,2.0481244334812406e-8,1.096948824562348,全窓,500
var_ask_depth,log1p,二乗,立会日,500ms,sub,11750209.0,8.717947540358199e-11,0.000050959901425723,2.5969115533194046e-9,0.1746832802286394,全窓,500
var_ask_depth,log1p,二乗,立会日,1s,full,58750814.0,2.316866332030831e-9,0.0009142215171515704,8.358009824229191e-7,7.007426591048856,全窓,1000
var_ask_depth,log1p,二乗,立会日,1s,sub,5875056.0,2.330740466286157e-9,0.0009528220427856539,9.078698452182265e-7,2.309499774413305,全窓,1000
var_ask_depth,log1p,二乗,立会日,3s,full,58749454.0,1.1244762016932287e-8,0.003438876094076192,0.000011825868790408727,26.358519061914972,全窓,3000
var_ask_depth,log1p,二乗,立会日,3s,sub,1958284.0,1.1534380595967592e-8,0.0032505158924625724,0.000010565853567151753,4.548751419317053,全窓,3000
var_ask_depth,log1p,二乗,立会日,5s,full,58748094.0,2.5705370083969215e-8,0.006633654367006008,0.000044005370260897886,50.84629101182206,全窓,5000
var_ask_depth,log1p,二乗,立会日,5s,sub,1174928.0,2.61006460293513e-8,0.00807517669885607,0.00006520847871774802,8.753292714645363,全窓,5000
var_ask_depth,log1p,二乗,立会日,10s,full,58744694.0,6.052299534125486e-8,0.011560869440861226,0.00013365370222863894,88.61430520588218,全窓,10000
var_ask_depth,log1p,二乗,立会日,10s,sub,587409.0,5.6851312945508367e-8,0.011888715234185011,0.00014134154991954275,9.112450403534016,全窓,10000
var_ask_depth,log1p,二乗,立会日,30s,full,58731094.0,2.2141686075947332e-7,0.025750771451258637,0.0006631022303349569,197.4096237779944,全窓,30000
var_ask_depth,log1p,二乗,立会日,30s,sub,195729.0,2.0615937286057172e-7,0.02259348109703831,0.0005104653880822275,9.998144158136338,全窓,30000
var_ask_depth,log1p,二乗,立会日,50s,full,58717494.0,3.900377342908483e-7,0.03402001495891431,0.0011573614178047534,260.837309736752,全窓,50000
var_ask_depth,log1p,二乗,立会日,50s,sub,117393.0,3.480635696559599e-7,0.03156310237003921,0.000996229431221575,10.819657700300729,全窓,50000
var_ask_depth,log1p,二乗,立会日,100s,full,58683494.0,8.245922977497906e-7,0.044531444817856536,0.001983049577565802,341.47255314465457,全窓,100000
var_ask_depth,log1p,二乗,立会日,100s,sub,58641.0,7.508840048806538e-7,0.04188786541965954,0.0017545932694155095,10.152262699157607,全窓,100000
var_ask_depth,log1p,二乗,閉場日,10ms,full,26772480.0,4.5406377833418657e-11,0.0002069548009665249,4.283028964309393e-8,1.070828201120842,全窓,10
var_ask_depth,log1p,二乗,閉場日,10ms,sub,26772480.0,4.5406377833418657e-11,0.0002069548009665249,4.283028964309393e-8,1.070828201120842,全窓,10
var_ask_depth,log1p,二乗,閉場日,20ms,full,26772480.0,9.387250939262668e-11,0.00021447619080951805,4.6000036424160794e-8,1.1097454752400207,全窓,20
var_ask_depth,log1p,二乗,閉場日,20ms,sub,26772480.0,9.387250939262668e-11,0.00021447619080951805,4.6000036424160794e-8,1.1097454752400207,全窓,20
var_ask_depth,log1p,二乗,閉場日,50ms,full,26772480.0,3.638504122293136e-10,0.0005959689116781201,3.5517894368680297e-7,3.0836705130936433,全窓,50
var_ask_depth,log1p,二乗,閉場日,50ms,sub,26772480.0,3.638504122293136e-10,0.0005959689116781201,3.5517894368680297e-7,3.0836705130936433,全窓,50
var_ask_depth,log1p,二乗,閉場日,100ms,full,26772480.0,-5.741393766612942e-10,-9.269585279486221e-6,8.592521125366764e-11,-0.04796280671657816,全窓,100
var_ask_depth,log1p,二乗,閉場日,100ms,sub,26772480.0,-5.741393766612942e-10,-9.269585279486221e-6,8.592521125366764e-11,-0.04796280671657816,全窓,100
var_ask_depth,log1p,二乗,閉場日,500ms,full,26772356.0,7.946503110410553e-8,0.0005732912062301877,3.2866280714086364e-7,2.9663243098722756,全窓,500
var_ask_depth,log1p,二乗,閉場日,500ms,sub,5354458.0,4.0679280714599033e-7,0.00295976147637279,8.760187997020438e-6,6.848828519616524,全窓,500
var_ask_depth,log1p,二乗,閉場日,1s,full,26772201.0,8.880137164772346e-8,0.0004524215591296325,2.0468526716528757e-7,2.3409134598628576,全窓,1000
var_ask_depth,log1p,二乗,閉場日,1s,sub,2677205.0,-6.920286187338596e-9,-0.00003501213581107389,1.2258496540530828e-9,-0.05728741899756812,全窓,1000
var_ask_depth,log1p,二乗,閉場日,3s,full,26771581.0,2.640308649134194e-8,0.00013434216722199346,1.8047817893902055e-8,0.695103295377278,全窓,3000
var_ask_depth,log1p,二乗,閉場日,3s,sub,892367.0,3.6876035834909365e-8,0.0032629691724550703,0.000010646967820392126,3.0823826168671675,全窓,3000
var_ask_depth,log1p,二乗,閉場日,5s,full,26770961.0,5.684995557504322e-8,0.00028887277274061837,8.344747883085294e-8,1.4946468548969123,全窓,5000
var_ask_depth,log1p,二乗,閉場日,5s,sub,535400.0,-2.8045493429553892e-8,-0.00006201539421263424,3.845909119348428e-9,-0.04537721959970653,全窓,5000
var_ask_depth,log1p,二乗,閉場日,10s,full,26769411.0,1.4204305780995876e-7,0.0007164421657434148,5.132893768551147e-7,3.7068126897945644,全窓,10000
var_ask_depth,log1p,二乗,閉場日,10s,sub,267672.0,-1.7595125117498686e-7,-0.0002744122959580138,7.530210817294857e-8,-0.1419722395838399,全窓,10000
var_ask_depth,log1p,二乗,閉場日,30s,full,26763211.0,5.027681276768068e-7,0.0023683395047887725,5.609032009943128e-6,12.252205433237917,全窓,30000
var_ask_depth,log1p,二乗,閉場日,30s,sub,89186.0,7.117835540712238e-8,0.0008179424276485614,6.690298149476221e-7,0.24426787536463634,全窓,30000
var_ask_depth,log1p,二乗,閉場日,50s,full,26757011.0,8.322653247589397e-7,0.0035770242382250805,0.000012795102400849717,18.503055171126448,全窓,50000
var_ask_depth,log1p,二乗,閉場日,50s,sub,53488.0,5.819920565525323e-7,0.004354308188193761,0.000018959999797771234,1.0070321627339394,全窓,50000
var_ask_depth,log1p,二乗,閉場日,100s,full,26741511.0,1.1723680324423018e-6,0.004021517871533648,0.000016172605991064522,20.796318979652685,全窓,100000
var_ask_depth,log1p,二乗,閉場日,100s,sub,26715.0,7.435246156933609e-6,0.018572903493471172,0.00034495274417779365,3.0360998659379517,全窓,100000
var_ask_depth,log1p,符号つき,立会日,10ms,full,58751426.0,-6.264334916404816e-8,-0.002653356005017689,7.04029808936343e-6,-20.337906731427626,全窓,10
var_ask_depth,log1p,符号つき,立会日,10ms,sub,58751426.0,-6.264334916404816e-8,-0.002653356005017689,7.04029808936343e-6,-20.337906731427626,全窓,10
var_ask_depth,log1p,符号つき,立会日,20ms,full,58751426.0,-1.3085954541539103e-7,-0.003913185255376781,0.000015313018842898244,-29.99459017066347,全窓,20
var_ask_depth,log1p,符号つき,立会日,20ms,sub,58751426.0,-1.3085954541539103e-7,-0.003913185255376781,0.000015313018842898244,-29.99459017066347,全窓,20
var_ask_depth,log1p,符号つき,立会日,50ms,full,58751426.0,-3.761733096616992e-7,-0.007203288151581342,0.000051887360194712144,-55.21425978493293,全窓,50
var_ask_depth,log1p,符号つき,立会日,50ms,sub,58751426.0,-3.761733096616992e-7,-0.007203288151581342,0.000051887360194712144,-55.21425978493293,全窓,50
var_ask_depth,log1p,符号つき,立会日,100ms,full,58751426.0,-8.787133663742782e-7,-0.011439834752811748,0.00013086981917163944,-87.6914739127168,全窓,100
var_ask_depth,log1p,符号つき,立会日,100ms,sub,58751426.0,-8.787133663742782e-7,-0.011439834752811748,0.00013086981917163944,-87.6914739127168,全窓,100
var_ask_depth,log1p,符号つき,立会日,500ms,full,58751154.0,-4.795637927837532e-6,-0.028822771816726288,0.0008307521751990712,-221.0163525425045,全窓,500
var_ask_depth,log1p,符号つき,立会日,500ms,sub,11750209.0,-4.7832810521277435e-6,-0.029045803275134185,0.0008436586878977958,-99.60690040864473,全窓,500
var_ask_depth,log1p,符号つき,立会日,1s,full,58750814.0,-6.6366180154390036e-6,-0.02891807005229582,0.0008362547755494884,-221.74707941160457,全窓,1000
