feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t,lay,hor_ms
var_ask_depth,log1p,二乗,立会日,10ms,full,58751846.0,4.6612927336108697e-11,0.0032949888064942464,0.000010856951234922378,25.25614441327066,全窓,10
var_ask_depth,log1p,二乗,立会日,10ms,sub,58751846.0,4.6612927336108697e-11,0.0032949888064942464,0.000010856951234922378,25.25614441327066,全窓,10
var_ask_depth,log1p,二乗,立会日,20ms,full,58751846.0,1.1939973552525814e-10,0.005092333059460233,0.000025931855988471615,39.03311244344443,全窓,20
var_ask_depth,log1p,二乗,立会日,20ms,sub,58751846.0,1.1939973552525814e-10,0.005092333059460233,0.000025931855988471615,39.03311244344443,全窓,20
var_ask_depth,log1p,二乗,立会日,50ms,full,58751846.0,3.7901338712382195e-10,0.007996541885834164,0.00006394468213190021,61.29525459882598,全窓,50
var_ask_depth,log1p,二乗,立会日,50ms,sub,58751846.0,3.7901338712382195e-10,0.007996541885834164,0.00006394468213190021,61.29525459882598,全窓,50
var_ask_depth,log1p,二乗,立会日,100ms,full,58751846.0,9.162138349296185e-10,0.0005267486102113583,2.7746409835959745e-7,4.037515565977869,全窓,100
var_ask_depth,log1p,二乗,立会日,100ms,sub,58751846.0,9.162138349296185e-10,0.0005267486102113583,2.7746409835959745e-7,4.037515565977869,全窓,100
var_ask_depth,log1p,二乗,立会日,500ms,full,58751574.0,7.381831216987185e-9,0.0018939548119540084,3.587064829723743e-6,14.51710899502287,全窓,500
var_ask_depth,log1p,二乗,立会日,500ms,sub,11750291.0,8.12329581738726e-9,0.002103933710391196,4.426537057720465e-6,7.212026063202584,全窓,500
var_ask_depth,log1p,二乗,立会日,1s,full,58751234.0,1.612094047774424e-8,0.0029186916369011214,8.518760871316548e-6,22.371677627629197,全窓,1000
var_ask_depth,log1p,二乗,立会日,1s,sub,5875091.0,1.3579515526323333e-8,0.0024577741921917476,6.0406539798037975e-6,5.957314338685641,全窓,1000
var_ask_depth,log1p,二乗,立会日,3s,full,58749874.0,4.889794399787995e-8,0.008339317567423656,0.0000695442174903408,63.92181187539654,全窓,3000
var_ask_depth,log1p,二乗,立会日,3s,sub,1958291.0,4.427365817731228e-8,0.004829443884174279,0.000023323528230388348,6.758348473059336,全窓,3000
var_ask_depth,log1p,二乗,立会日,5s,full,58748514.0,8.285350017353748e-8,0.013237658315547528,0.00017523559767918464,101.47233588551269,全窓,5000
var_ask_depth,log1p,二乗,立会日,5s,sub,1174931.0,7.72943628992538e-8,0.02217310692084585,0.0004916466705232621,24.040259364505136,全窓,5000
