model,term,coef,t,r2,n,oos_r2_vs_mean,oos_r2_vs_rw,oos_r2_vs_best_const,oos_r2_vs_har,placebo_p,placebo_t_hi
HAR,定数,22.49448896395956,2.1532430150420656,0.24895984457863318,24,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(t),0.47851096643677826,3.3044277210188,0.24895984457863318,24,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(5日平均),-0.6438978416191261,-2.1330523381220106,0.24895984457863318,24,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(22日平均),-2.364774370759237,-1.3592743656979305,0.24895984457863318,24,NaN,NaN,NaN,NaN,NaN,NaN
HAR,(標本外),NaN,NaN,0.24895984457863318,24,-0.3964778340821269,0.26801248099378683,-0.7510987246467056,0.0,NaN,NaN
跳び成分 √(RV−BV),追加項,0.791111515312368,1.1024784169783686,0.29672225267701546,24,-0.7094179229224771,0.10397963089245077,-1.14350666488397,-0.22409241393082224,0.625,5.542661189039521
下向き半分散 √RS−,追加項,-3.1587281702409595,-2.2782869260153222,0.3244271467864457,24,-0.4128338443419395,0.25943920107574947,-0.7716081720630992,-0.011712330737109866,0.39285714285714285,8.328572881356894
上向き半分散 √RS+,追加項,2.817799811553545,2.4492089758881654,0.3300862746873501,24,-0.2897109529160091,0.32397615084192677,-0.6172195144783756,0.07645440447416285,0.26785714285714285,7.922513814081428
microprice のボラ,追加項,-0.9739238920626533,-0.9383583650047603,0.26787313554131087,24,-0.15009139982020958,0.39716010534595525,-0.44214504111769126,0.17643418910681208,0.8214285714285714,9.289197937701772
スプレッドのボラ,追加項,-0.19922120552842337,-0.18093019193963433,0.25088793209890414,24,-0.2618613850045477,0.33857397375281073,-0.5822978410643644,0.09639712553408297,0.9642857142857143,5.625956127217208
板圧力のボラ,追加項,-0.5545704452082022,-0.3022849659528677,0.2524258203429971,24,-2.1216055923234394,-0.6362424644875357,-2.9143045726611434,-1.2353420270184237,0.8571428571428571,6.656075665103568
OFI のボラ,追加項,0.11229568183319455,0.5532226546200879,0.25911391137505035,24,-0.5186697599266648,0.2039635126116116,-0.9043200077107028,-0.08750008260951159,0.7142857142857143,5.896672131360995
