model,term,coef,t,r2,n,oos_r2_vs_mean,oos_r2_vs_rw,oos_r2_vs_best_const,oos_r2_vs_har,placebo_p,placebo_t_hi
HAR,定数,8.933821144961664,3.260683928094233,0.26917611630361504,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(t),0.448287534384595,3.749503853951941,0.26917611630361504,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(5日平均),-1.0897117469359598,-4.194329301795214,0.26917611630361504,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(22日平均),0.18254212527881888,0.6314664662796173,0.26917611630361504,75,NaN,NaN,NaN,NaN,NaN,NaN
HAR,(標本外),NaN,NaN,0.26917611630361504,75,0.1807920363390979,0.28143912954246497,0.16826126995809743,0.0,NaN,NaN
跳び成分 √(RV−BV),追加項,-0.013175256202052968,-3.0262990012917066,0.274199150220922,75,-2.1075438440444425,-1.7257540314706055,-2.1550774468117075,-2.7933516053205265,0.25,6.2080557082756505
下向き半分散 √RS−,追加項,1.3189485885201875,2.0052564400948873,0.2933256937669403,75,0.22129581157735412,0.3169666503711871,0.20938459892089378,0.04944260436294057,0.375,4.71086576849062
上向き半分散 √RS+,追加項,-1.4115027065198205,-2.398877129184438,0.29919868972842845,75,0.22516878394009565,0.3203637931184242,0.21331681303179983,0.05417030786991561,0.30357142857142855,4.496947681057453
microprice のボラ,追加項,-0.17895178347463325,-0.2769648302426465,0.26949468277873,75,0.18140790443245436,0.28197933268120345,0.16888655849112444,0.0007517847978480985,0.8571428571428571,4.310986535245728
スプレッドのボラ,追加項,-0.6534916862494007,-1.747660704827915,0.2889311337875531,75,0.19872194484760242,0.29716618694010033,0.18646543787900893,0.021886882579093547,0.42857142857142855,5.464337813866832
板圧力のボラ,追加項,-0.16312853104046823,-0.3877691580401829,0.27092838673436026,75,0.17777808780550253,0.27879547179268394,0.16520121947403998,-0.0036791006280341154,0.8214285714285714,3.9710211918791525
OFI のボラ,追加項,0.15781274231287512,1.8915062418392092,0.3120330904549893,75,0.26452746631352475,0.3548869060773451,0.2532775335637467,0.10221510738277895,0.42857142857142855,3.8802054074255103
