model,term,coef,t,r2,n,oos_r2_vs_mean,oos_r2_vs_rw,oos_r2_vs_best_const,oos_r2_vs_har,placebo_p,placebo_t_hi
HAR,定数,0.26673275426737764,0.08713617427943594,0.41403533671484627,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(t),0.4313178947360867,5.382922407869662,0.41403533671484627,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(5日平均),-1.2831074388461228,-5.466279072641303,0.41403533671484627,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(22日平均),1.8222873911459416,3.2006420819221018,0.41403533671484627,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,(標本外),NaN,NaN,0.41403533671484627,76,-0.3283706865285978,-0.17057932445640378,-0.4846159836737902,0.0,NaN,NaN
跳び成分 √(RV−BV),追加項,-0.012177818710503191,-1.9263992543775972,0.425642964279476,76,-0.15935790150154627,-0.021642831256241557,-0.2957236175285358,0.12723314865425772,0.21428571428571427,4.089680955080624
下向き半分散 √RS−,追加項,-0.42669882594454683,-0.6122392767999748,0.4161578675020957,76,-0.30215042559452043,-0.147473653996683,-0.45531164951947667,0.0197386627091255,0.8928571428571429,6.308426728302596
上向き半分散 √RS+,追加項,0.48911518729689996,0.5771814931043194,0.415919880663399,76,-0.3163936544052015,-0.1600249917583254,-0.4712301919609092,0.009016332748726597,0.8571428571428571,6.443451522150099
microprice のボラ,追加項,-0.47804516673326336,-0.04693505307491615,0.4140489160833324,76,-0.3553174046865124,-0.19432515945374207,-0.514732222228661,-0.02028554110022851,1.0,6.382480121545319
スプレッドのボラ,追加項,-0.05223136256770733,-0.12019571203769247,0.4141980196132764,76,-0.0879117699627463,0.041316525826734285,-0.21587386630333127,0.18101793347626294,0.9464285714285714,4.184370196121182
板圧力のボラ,追加項,-0.4603502726891675,-0.5927878546959998,0.41656523883187047,76,-0.6962214011042416,-0.4947346565000792,-0.8957339464556864,-0.27691872329473033,0.8035714285714286,5.208056121649681
OFI のボラ,追加項,-0.05640955080047333,-0.42574974155673034,0.41569634808662714,76,-1.1413886072781105,-0.887022391209839,-1.3932625026000962,-0.6120414497207514,0.9285714285714286,5.161641368410676
