dt,n_active_mean,n_active_p10,n_active_p25,n_active_p50,n_active_p75,n_active_p90,n_bid_mean,n_bid_p10,n_bid_p25,n_bid_p50,n_bid_p75,n_bid_p90,n_ask_mean,n_ask_p10,n_ask_p25,n_ask_p50,n_ask_p75,n_ask_p90,n_bbo_mean,n_bbo_p10,n_bbo_p25,n_bbo_p50,n_bbo_p75,n_bbo_p90,hhi_mean,hhi_p10,hhi_p25,hhi_p50,hhi_p75,hhi_p90,entropy_mean,entropy_p10,entropy_p25,entropy_p50,entropy_p75,entropy_p90,eff_n_mean,eff_n_p10,eff_n_p25,eff_n_p50,eff_n_p75,eff_n_p90,gini_mean,gini_p10,gini_p25,gini_p50,gini_p75,gini_p90,top1_mean,top1_p10,top1_p25,top1_p50,top1_p75,top1_p90,top3_mean,top3_p10,top3_p25,top3_p50,top3_p75,top3_p90,top5_mean,top5_p10,top5_p25,top5_p50,top5_p75,top5_p90,top10_mean,top10_p10,top10_p25,top10_p50,top10_p75,top10_p90,conc_imb_mean,conc_imb_p10,conc_imb_p25,conc_imb_p50,conc_imb_p75,conc_imb_p90,hhi_touch_mean,hhi_touch_p10,hhi_touch_p25,hhi_touch_p50,hhi_touch_p75,hhi_touch_p90,hhi_deep_mean,hhi_deep_p10,hhi_deep_p25,hhi_deep_p50,hhi_deep_p75,hhi_deep_p90,touch_share_mean,touch_share_p10,touch_share_p25,touch_share_p50,touch_share_p75,touch_share_p90,depth_mean,depth_p10,depth_p25,depth_p50,depth_p75,depth_p90,n_grid,n_wallet_day,n_event,n_nowid,n_carry,n_stale,bbo_chk_n,bbo_chk_same,bbo_chk_ratio
2026-05-04,101.26454009884374,62.0,72.0,93.0,138.0,145.0,79.27371844581535,51.0,58.0,72.0,105.0,113.0,63.90889940855797,44.0,49.0,59.0,85.0,87.0,2.080672230002662,1.0,2.0,2.0,2.0,3.0,0.11518104513558293,0.07717853125701903,0.09606063716145222,0.10203862338396395,0.11580229780766459,0.14495001948239972,2.8977432589874303,2.619044573539333,2.8050378110281615,2.9362586624119458,3.063518013611262,3.170682385218007,18.777423269999264,13.722606378821816,16.52770082361699,18.84520796877924,21.402719932880373,23.823735776065075,0.835754173941484,0.7756956239107431,0.8134659847180175,0.843388659335956,0.8687046776759597,0.8728586668108459,0.2711276090692118,0.15713971326294965,0.24544575107427757,0.2612660833581031,0.28522904164339724,0.330704228341492,0.4600113340110144,0.3745969718073719,0.42903355527710907,0.45536253005999666,0.47311371756902915,0.5285486778493653,0.5746061202458284,0.5040803170491759,0.547869289470306,0.5655082270185207,0.5916776348322133,0.652006572416787,0.735864474156052,0.6790534007412834,0.6988233185761535,0.7272712196527672,0.7645914588855612,0.8030312093823124,-0.12334789130923068,-0.22341573311922572,-0.19613970485765136,-0.15278782848884206,-0.07804223086166323,-0.01978736465977421,0.832733739258779,0.5497913022858172,0.7201502314612629,0.8946451943648732,0.9920283677083069,1.0,0.11399738925510587,0.07740532453200509,0.09631380266291244,0.10218062619512647,0.11575265562065536,0.14288954349922067,0.005697305585937291,0.000043897156157365,0.0001314277182584992,0.0006640980311882133,0.002089015264878824,0.0056972814315860015,15000.316838724983,4797.7974,5336.6645,11874.789,25574.917,26528.397,86399,452,2408107,655,1333,0,86399,74778,1.2702768190076525
2026-05-05,162.8411574074074,149.0,151.0,162.0,173.0,181.0,130.28206018518517,116.0,119.0,129.0,142.0,145.0,91.15738425925926,84.0,89.0,91.0,95.0,97.0,2.2396786999849536,1.0,2.0,2.0,3.0,3.0,0.08894039807975104,0.07751697058020958,0.08241726804957877,0.08677050739489303,0.10104120874072275,0.10536682956745133,3.2074174653351166,3.0365067860501234,3.0795421233336713,3.227594779936696,3.285392667234312,3.331234203424408,24.895430496695216,20.83234414798189,21.74844201195796,25.218926896752855,26.719474117266486,27.972844587725586,0.8683070579896917,0.8600902348521885,0.8646226780713107,0.8682514451380714,0.8732526789284991,0.8774557749044499,0.24058275423818748,0.21609310319815042,0.23094433097283135,0.24228744260541307,0.2625772423907795,0.2696118851946438,0.4248562496602116,0.3900338333315056,0.39975533821625453,0.42038387766268503,0.4616010956185086,0.4718614642407359,0.5224509418609409,0.48718794896077133,0.5019384863295349,0.5172794065933226,0.5581684682625135,0.5698892264454948,0.6697511467316476,0.6295468670878489,0.6477107789137299,0.6660850002804464,0.7060603632407757,0.7192042736156933,-0.31825090448708926,-0.3863882251686366,-0.36346078740776944,-0.33218372609084457,-0.2531536613807336,-0.24332596573287077,0.7654090832556202,0.5065055011138366,0.6046951302128555,0.7824804031978713,0.9435936709558206,1.0,0.08890430635951746,0.07757467572933471,0.08250279953401035,0.08677679006438113,0.10060359594289592,0.10526890036680905,0.0018398999893159311,0.000029869836203002943,0.00009943294756228934,0.0003854686457925553,0.0011626241463859384,0.00542935626057677,26569.865953900462,24842.3777,25216.425,26441.400999999998,27750.262,28982.4967,86400,544,2807906,341,1555,0,86399,73958,1.2548729898643036
2026-05-06,147.22821759259259,125.0,131.0,147.0,166.0,171.0,117.77005787037037,99.0,103.0,113.0,136.0,142.0,74.32428240740741,65.0,70.0,76.0,79.0,81.0,2.091447817683075,1.0,2.0,2.0,2.0,3.0,0.08020258138250451,0.0666579310577942,0.0713292508229083,0.08294147317386802,0.08959972320205971,0.09286320167647312,3.2394733978545305,3.072278932169656,3.102507340602303,3.1777222102803955,3.3835130658431205,3.441134809775955,25.844155488067404,21.591051191800894,22.253678940897746,23.992042437912822,29.474134020542714,31.222369522104085,0.8542638335477911,0.8445916595135853,0.848622173384342,0.8543381806782406,0.8604618559661272,0.8652710358788186,0.21626353670155807,0.1877318913689623,0.19883459914076634,0.21764967589713258,0.23830259090586325,0.24585397363516298,0.40501880607115176,0.36565439928386256,0.3842570180060961,0.415707408964888,0.4289308070870072,0.4378685142664982,0.4953393860461429,0.45127994415873424,0.4709048986716665,0.5069197924292179,0.5211704625767478,0.5325224133064259,0.6549707852987626,0.6014746971693353,0.6218623236386089,0.6708698229889181,0.6866858744624611,0.7008757119784944,-0.3911922993133129,-0.4572170538130337,-0.4288857275872256,-0.3954439849008482,-0.3645363646026521,-0.3226300478121827,0.7800701113293009,0.5218512211631164,0.620177306459774,0.8120418937933815,0.935507347411931,1.0,0.08020211862923732,0.06677732237859398,0.07144597586724993,0.08303415434749399,0.08922541759145419,0.09272088545228287,0.0016389706125273422,0.00009140145520900944,0.00026847516469213597,0.0006696841873768302,0.0018360142749092217,0.003386285449476725,13383.235152500001,12005.6468,12495.110250000002,13146.573,14582.0605,14855.4235,86400,559,3929840,129,1538,507,86399,69916,1.075275719983489
2026-05-07,159.64380787037038,149.0,154.0,160.0,165.0,169.0,130.81266203703703,120.0,126.0,131.0,136.0,139.0,78.07704861111111,73.0,75.0,78.0,81.0,84.0,2.175198787022998,2.0,2.0,2.0,2.0,3.0,0.08052271925137106,0.0653285199365732,0.07047342778651663,0.08364658053302917,0.09120345666906787,0.09548554836693332,3.2958560952162506,3.177999721709777,3.206620271844134,3.280157017829799,3.3602063414806125,3.440582690421277,27.152530243343186,23.998701427853874,24.695481010230438,26.57994589765528,28.79513189643515,31.20513580562502,0.8535158147467613,0.8433820548895951,0.8505110393323889,0.8540416133696566,0.8578075879336614,0.8637581205599327,0.21256109553665398,0.18743842706574737,0.19719763924530048,0.21947279735008324,0.2324590115078367,0.23919886991622158,0.41076040890497584,0.3652975690391549,0.3826797524964845,0.4205149618621811,0.44085730453855837,0.45283042887347147,0.5008932165387915,0.4590220935857231,0.48686495911723726,0.5080176053603249,0.5241622864765496,0.5315446950186743,0.6406471539656868,0.600685770796924,0.6244244121548618,0.6479137627126423,0.6615268318784051,0.671452346832715,-0.3036398760641298,-0.3487445320264999,-0.3297306302141834,-0.3015376276214604,-0.2818080796014768,-0.2606947495726835,0.7630586907969665,0.5065205380277398,0.620844388267927,0.7748085219341125,0.9274686379418708,0.982219181388725,0.08061132034753306,0.06533141868028332,0.07062252492625486,0.0837448797368556,0.09116129094945077,0.09552719479213762,0.002216961142352336,0.00006780958311116043,0.0001691831370583955,0.0006540840622993097,0.0017185389318171115,0.002876625515995177,13282.571821736112,12143.1344,12347.9105,12913.9185,14314.475,15138.0604,86400,513,4281368,362,1021,372,86399,76872,1.2001545094333486
2026-05-08,152.80002314814814,126.0,129.0,150.0,176.0,185.0,127.91467592592592,109.0,112.0,131.0,140.0,149.0,73.40770833333333,59.0,62.0,77.0,83.0,87.0,2.0685656083982455,1.0,2.0,2.0,2.0,3.0,0.23184748036396152,0.07281916333520536,0.07601793168752512,0.3378615892460326,0.3704349041658018,0.38895398637312995,2.5948314141725315,1.9645724870335248,2.0253013717416666,2.1374363897301434,3.2176386423292493,3.277523958855677,15.979273051764068,7.131862974460139,7.5783945144717215,8.477676289009562,24.96908956180769,26.51005139124674,0.8902439384846066,0.8394488454737544,0.843394295125194,0.9265970314961411,0.9335605547017355,0.9362342037556501,0.40945445268,0.19454942569069872,0.19717560264844197,0.5697748984466973,0.5994427389051787,0.6162116066685138,0.5635923246621072,0.37892672261658644,0.39379274068238906,0.6917936359656891,0.7205460829389416,0.7302053684996982,0.6593637647128173,0.5072347706809466,0.5265361625215388,0.7606085101111266,0.7817774361775087,0.7935139219494224,0.7662935664319714,0.6701337987030335,0.6779872511663226,0.8282414026113777,0.8447764204899308,0.8553692079394254,-0.5881538715779282,-0.8374527915720167,-0.8114420874799094,-0.7684202258070916,-0.3449865147625075,-0.31190656675043066,0.7800887944179616,0.5093718470155624,0.6224941188231936,0.7890493126917595,0.9434442454519747,1.0,0.2322298539885009,0.07297887574785017,0.07605432098146704,0.33831925156571996,0.3710253672787154,0.3894015151978947,0.0008758579924618461,0.00003952080253395153,0.00006412796702826763,0.0002293116641737203,0.0006189176313660194,0.0015496717066606441,28197.869194375002,13968.861,14221.485,38027.716,40807.6615,41821.4855,86400,620,4582775,174,1565,161,86399,76945,1.0999797390999397
2026-05-09,178.61809027777778,165.0,171.0,182.0,186.0,188.0,134.39658564814815,127.0,130.0,136.0,139.0,141.0,83.2341087962963,75.0,77.0,85.0,88.0,90.0,1.8566798620274556,1.0,1.0,2.0,2.0,3.0,0.4415331902359343,0.4224415269440873,0.42894806120089185,0.4420507380238898,0.4481317449126883,0.45342624464088827,1.7821732951798912,1.7356876047173995,1.7600464704509609,1.7808658197709895,1.825257993446235,1.8422705821472831,5.951152613588321,5.672827125747921,5.812707507265573,5.934992828847612,6.204395506016949,6.3108513117212235,0.9470003886101684,0.9421411059698167,0.9438125726374886,0.9480750853885053,0.9496061014710014,0.9510367261721727,0.6580366896957439,0.643194406191863,0.648574593993002,0.6583286230568575,0.6632165922253955,0.667173544321271,0.7596929107267733,0.7453659087756076,0.7486803820229824,0.7620454702584099,0.7653050536709947,0.7689119563311341,0.8186534616727867,0.8075236527267401,0.8112046423051945,0.8212659790255926,0.8245380641408391,0.8275538000077692,0.8726550724153432,0.8645882208713274,0.8671433824058213,0.8739623733326755,0.8773207564126426,0.8801096144600974,-0.8005798607355087,-0.81329017518503,-0.8074609289309433,-0.7989164275001186,-0.7954299336821289,-0.7891793754858185,0.8428123990547725,0.5081302644025043,0.6858230168456267,0.9620351925058779,1.0,1.0,0.44183046224651384,0.42267393878249304,0.429337313928052,0.44232044298771767,0.44842858121119766,0.4534933753593447,0.00034654060856983195,0.000011217571393426372,0.000013213435128410085,0.00002050841855571512,0.00035029178435200253,0.00106901843352769,37106.03548892361,36583.450000000004,36801.718,37074.964,37632.541,37947.329399999995,86400,457,616380,87,1701,132,86394,63777,1.232843495783145
2026-05-10,140.07447916666666,126.0,133.0,141.0,147.0,154.0,106.88236111111111,96.0,103.0,108.0,112.0,115.0,73.38121527777778,67.0,70.0,72.0,76.0,82.0,2.2788921168069076,1.0,2.0,2.0,3.0,3.0,0.09502034839346375,0.06751426261723585,0.08714386503821582,0.09684963293231698,0.1080384017087038,0.11420085417152975,3.086088190626254,2.9213469298639425,2.9704329737216284,3.0626833457669993,3.1317285886014328,3.354962287035715,22.17733087841569,18.566278100132344,19.500360912302483,21.38486322386201,22.913553436384312,28.644523901087094,0.8648522891624281,0.845981586078107,0.8504089355117157,0.8720282254263861,0.8790770218104831,0.8820630566095665,0.22894582284092138,0.17671708523858703,0.2010128560265047,0.24337658000655657,0.2563976886860323,0.2625877373389252,0.4520468906824012,0.3665488680498896,0.4321814447867696,0.4536904051984557,0.48955126948457256,0.5166400399332747,0.5570484629790002,0.4828322872172883,0.5338158215823849,0.5606434044224398,0.6011729980968789,0.6161970236605999,0.7055201564035409,0.6395371187710436,0.692969084220169,0.7103826167167168,0.7391516750258824,0.7503791896143739,-0.05608465514596768,-0.46580534887473524,-0.16526221504959007,0.020664786047503488,0.10951417994288945,0.14060577841328709,0.7415430072674638,0.5001400535704907,0.5242046336779572,0.7358515236703709,0.9744851344365975,1.0,0.09523104019024325,0.06754395707581667,0.08651486674086221,0.09736067265011711,0.10865802662373664,0.11436903341840522,0.005432276162364496,0.000047166807003384144,0.00006524703341003587,0.00016804452806561454,0.0018099544391967676,0.01628017491563402,8890.047893368055,5759.9141,6402.84225,8993.171,9673.142,13139.344000000001,86400,521,620175,218,1554,453,86399,59248,2.0062123804601595
2026-05-11,210.24886574074074,159.0,179.0,195.0,257.0,262.0,161.76282407407408,131.0,138.0,151.0,193.0,198.0,109.29885416666667,83.0,90.0,100.0,135.0,139.0,2.2062176645563025,2.0,2.0,2.0,2.0,3.0,0.06438807270651492,0.05533490740026955,0.057254313598673376,0.06221684492741876,0.06891751383331607,0.07750258619338399,3.5178929610572287,3.3192142215921017,3.418547858842517,3.509320091163784,3.6323243445343074,3.7331020729262363,34.08670168286673,27.638624189470203,30.525056131427284,33.425533740565726,37.80057614854212,41.80860054064784,0.8576899227910848,0.8475495196593241,0.8518154367361502,0.856129890165491,0.8647558261882053,0.874130385286148,0.18024276880129958,0.15293558317224898,0.15975390251092836,0.17393926444610502,0.20058977317619678,0.21854940041380336,0.3638134986422943,0.33988155824637134,0.34867557309864633,0.3608032387992032,0.37791349448138667,0.38811458151779965,0.4672641474487633,0.4268726920860674,0.4502084470279484,0.46998312963728234,0.48515385683890244,0.5000688056270007,0.6121120600598148,0.5543565865326918,0.5961352724846183,0.6152883546532042,0.6327252463070993,0.6561984044912262,-0.4253796943433136,-0.5280146586305393,-0.49545176759311443,-0.4422992135628526,-0.3827407968537425,-0.27200312813194594,0.7545327705248073,0.5071408398392991,0.5770155830295127,0.7813893773224703,0.9332978839257748,0.9890180285294894,0.06441284891035608,0.055406818426257866,0.057300680923015095,0.06220229290579307,0.06886529810570248,0.07756057470725765,0.0015559637025409382,0.00007803955815432379,0.00021176355117228458,0.0006975239661260687,0.0014445251566430751,0.0029443172875523627,14948.418406631947,10661.011100000002,11642.345,13739.573,18407.69275,19583.6905,86400,926,4668173,402,2193,485,86399,70541,1.0982462230233583
2026-05-12,256.24810185185186,231.0,238.0,258.0,275.0,283.0,183.5505902777778,157.0,166.0,184.0,205.0,213.0,142.8477199074074,130.0,135.0,145.0,150.0,153.0,2.406763967175546,2.0,2.0,2.0,3.0,3.0,0.10317345999644062,0.07390585794638424,0.09117276580923048,0.10420535108118895,0.11598966968837028,0.13433774479423882,3.2404186437306013,3.0027346205761525,3.170465007333662,3.2300733456380386,3.289465815848743,3.4659756779212776,25.849112346165185,20.140538415572024,23.81855758561816,25.28151119155153,26.828528452728253,32.00767372384143,0.8974330605284992,0.8704372371900059,0.8968547888243381,0.9031335479408977,0.9070873076522152,0.9100385773381571,0.2639625215032809,0.20703935632314613,0.23597112549635027,0.26982449874931214,0.2963118618879725,0.31947503569744473,0.468379213046523,0.41180970898126884,0.4361194807353786,0.47046933554059633,0.4906529367461093,0.5292274279008955,0.5668902510040112,0.49097979703848604,0.5579176790618976,0.579009462047833,0.5959060932535283,0.6215561643475122,0.6751985323479357,0.6034939795177366,0.6594145476942127,0.6908498741043994,0.7030375669437946,0.7184727044841299,0.04791350414748083,-0.4104966660946543,0.0834272655025113,0.149709535541665,0.19477447990142757,0.23400650960689448,0.7357460664397336,0.5000048038561566,0.5537529480280705,0.7558667252035682,0.9160913886072446,0.9786011780621371,0.10339579972697768,0.07401096968292636,0.09140196386186375,0.10434088617964285,0.11619895971643064,0.13462253293688603,0.0014220322929271334,0.00006640930380515576,0.00016118805161622121,0.0005247278889913197,0.0009973682354906795,0.0023651015849233976,23588.64105024306,14593.8856,22038.689250000003,24760.558,26753.27775,29499.6459,86400,895,6381154,277,2234,111,86399,73378,1.150628269343426
2026-05-13,265.5156712962963,235.0,240.0,266.0,291.0,296.0,215.40119212962964,192.0,197.0,215.0,234.0,239.0,121.98864583333334,99.0,107.0,120.0,140.0,144.0,2.396115695783516,2.0,2.0,2.0,3.0,3.0,0.12594930024673032,0.10031788671031146,0.10718664552276383,0.12101672123627474,0.1427474620260417,0.15371497659500533,3.129084468337076,2.969276419029417,3.034380534744804,3.142877857379976,3.1993016430906307,3.275494564268924,22.988822757236854,19.477820715424375,20.788096406677653,23.170452258154896,24.51540371604937,26.456306589498613,0.9048608650965384,0.8997773280726715,0.9022738585440452,0.9047841712284515,0.9072030806041866,0.9103931503592964,0.310043604283966,0.26055135660339246,0.2708807858637222,0.29594971889637967,0.34556658954934344,0.36011388498128893,0.4999178580264793,0.45882832247666,0.474938147728963,0.5064258328132796,0.5191418675142232,0.538291298560031,0.5922043187425734,0.564164666653075,0.5801098362778574,0.5937714911928027,0.6029537705633599,0.6220092064150329,0.7028971136160258,0.6832085483098239,0.6926504416015797,0.702333274803739,0.7123466361860873,0.7221160635971503,0.3625356933560682,0.29564357303953365,0.31964869981535327,0.36356328958883866,0.4011561300554981,0.4259730038385148,0.7182513798143372,0.482439641267335,0.5376998790647675,0.7187088827300467,0.9095292181509196,0.9836399136256091,0.1261473755994067,0.10039122656358218,0.10725033134981996,0.1211703390774968,0.14294410685968256,0.15401891600356823,0.0011163409534777013,0.00004621501486461955,0.00010726411842060543,0.0003174954216700545,0.0006922047100398464,0.00296519970530115,23417.96794142361,19834.9947,20669.98725,24135.3735,26369.005750000004,27414.3919,86400,882,5766548,157,2095,295,86399,75514,1.1869051045081782
