col,family,h,nday,mean,med,pos,worst,best
delta_bp__z,60 衝撃(z 得点),1s,99,-0.2339994285169326,-0.2289338149589447,0,-0.38123164063797593,-0.09556045606663385
delta_bp__z,60 衝撃(z 得点),10s,99,-0.19846329071149105,-0.2085243772186149,0,-0.35532966915231595,-0.018877223032084212
delta_bp__dev,63 平均回帰,1s,99,-0.2345586598621119,-0.2233169143496458,0,-0.3996387561209845,-0.09520068628063498
delta_bp__dev,63 平均回帰,10s,99,-0.20244758554134287,-0.21131017297750013,0,-0.365302900869553,-0.01762543583354312
obi1__x__rv_10s,70 交互作用,1s,99,-0.2102966742732354,-0.20175755246306312,0,-0.3613287157153082,-0.0496358605249
obi1__x__rv_10s,70 交互作用,10s,99,-0.1469590221275377,-0.1467146981399192,0,-0.2574739834898642,-0.029861468219504084
delta_bp,2.1 マイクロプライス,1s,99,-0.2286870397215705,-0.2127317326599216,0,-0.3993687992793386,-0.08983755695840241
delta_bp,2.1 マイクロプライス,10s,99,-0.19779524552363004,-0.20921276655097107,0,-0.3753590077507618,-0.03374860813654506
obi1__x__spread_bp,70 交互作用,1s,99,-0.22867583859997495,-0.2121127137546689,0,-0.39937823447109216,-0.08979680499885533
obi1__x__spread_bp,70 交互作用,10s,99,-0.19779757525693667,-0.2092139986154951,0,-0.37535303010621546,-0.03375616241429993
delta_bp__x__spread_bp,70 交互作用,1s,99,-0.22803635253068974,-0.21207740404073222,0,-0.39756034463470763,-0.09019726733652046
delta_bp__x__spread_bp,70 交互作用,10s,99,-0.19979651141124788,-0.21000278055256336,0,-0.3760243779323825,-0.036065286292281326
obi1__dev,63 平均回帰,1s,99,-0.20782600962243233,-0.19619898944246147,0,-0.34025397919273875,-0.0782860018595517
obi1__dev,63 平均回帰,10s,99,-0.16714506221581313,-0.17243445476043526,0,-0.34028403059078743,-0.006775464654116406
obi1__z,60 衝撃(z 得点),1s,99,-0.2072168137001958,-0.19899754075825973,0,-0.3367135476388133,-0.07497949140867133
obi1__z,60 衝撃(z 得点),10s,99,-0.16510848396120936,-0.16672918649557475,0,-0.3309267736790329,-0.007437830720140603
delta_norm,2.1 マイクロプライス,1s,99,-0.19576856166652698,-0.18363089229912696,0,-0.3246372710721537,-0.07630104781583191
delta_norm,2.1 マイクロプライス,10s,99,-0.15601289392602402,-0.16368232344352568,0,-0.32308653210002347,-0.026087721552008593
log_depth_ratio,4 板の偏り OBI,1s,99,-0.1957536820599266,-0.1836564790319735,0,-0.32464801427308326,-0.07696127219120832
log_depth_ratio,4 板の偏り OBI,10s,99,-0.15600849234074204,-0.16320130966513033,0,-0.323080811757265,-0.026087405682671618
obi1,4 板の偏り OBI,1s,99,-0.19575369809973228,-0.1836564790319735,0,-0.32464801427308326,-0.07696127219120832
obi1,4 板の偏り OBI,10s,99,-0.1560084969484672,-0.16320130966513033,0,-0.323080811757265,-0.026087405682671618
obi_not1,4 板の偏り OBI,1s,99,-0.19569843142055837,-0.183581365744693,0,-0.32466785974017504,-0.07636269070736618
obi_not1,4 板の偏り OBI,10s,99,-0.1560053931426467,-0.16342059669249412,0,-0.32308055706772904,-0.026041627787529303
micro_bid__dev,63 平均回帰,1s,99,-0.19196919004821122,-0.18634689045038605,0,-0.3362519749367957,-0.07998951976058297
micro_bid__dev,63 平均回帰,10s,99,-0.17204695303421388,-0.17382058320279153,0,-0.35383210179467783,-0.00989126163745536
micro_bid__z,60 衝撃(z 得点),1s,99,-0.18984039836675007,-0.18714087352453487,0,-0.3254060751533476,-0.07303291500933595
micro_bid__z,60 衝撃(z 得点),10s,99,-0.16628203335637728,-0.17140241553831834,0,-0.3418446465048628,-0.02031593285792462
obi_sign,4 板の偏り OBI,1s,99,-0.18554189560943163,-0.17710971339312087,0,-0.3173637889911575,-0.07376962108449375
obi_sign,4 板の偏り OBI,10s,99,-0.15417272323265446,-0.16192800974869173,0,-0.3284078397191208,-0.012241920848415959
mp_mom,2.1 マイクロプライス,1s,99,-0.17881133629055473,-0.1727955837647244,0,-0.2815288719190999,-0.06577334696293057
mp_mom,2.1 マイクロプライス,10s,99,-0.13530875321932162,-0.1382824834221075,1,-0.25727730793504916,0.0029767008706801526
delta_bp__d,61 加速と高次の動き,1s,99,-0.1763916561176959,-0.17593647503159077,0,-0.28745886994529307,-0.05154335431692272
delta_bp__d,61 加速と高次の動き,10s,99,-0.08048887024059982,-0.07636569566150496,0,-0.20857800081930747,-0.003709641270659955
d_obi,4 板の偏り OBI,1s,99,-0.16805833497408856,-0.1647975701238372,0,-0.2841902456416009,-0.05107496703171748
d_obi,4 板の偏り OBI,10s,99,-0.07182073730850692,-0.06777008986386698,0,-0.2058192853573281,-0.000832666461548078
