col,family,h,nday,mean,med,pos,worst,best
delta_bp__dev,63 平均回帰,1s,99,-0.18267422193733698,-0.18759810385511536,0,-0.29846965721020907,-0.035671259862923674
delta_bp__dev,63 平均回帰,10s,99,-0.1229820368943559,-0.11178711941664259,0,-0.24298446724881256,-0.019253279092700082
delta_bp__x__spread_bp,70 交互作用,1s,99,-0.18400341818571406,-0.189732625288533,0,-0.30128454295907986,-0.021297074767253142
delta_bp__x__spread_bp,70 交互作用,10s,99,-0.12453613453748223,-0.1138964355518932,0,-0.25299264983934006,-0.021603053869400285
obi1__x__spread_bp,70 交互作用,1s,99,-0.17933285514594016,-0.18351548110207067,0,-0.2996744446786856,-0.0174595804383727
obi1__x__spread_bp,70 交互作用,10s,99,-0.12132057898943274,-0.11089769128487509,0,-0.24757934437148296,-0.014485791286366932
delta_bp,2.1 マイクロプライス,1s,99,-0.17933467563431782,-0.18351445085549756,0,-0.29969454863561973,-0.01746149883033894
delta_bp,2.1 マイクロプライス,10s,99,-0.12132394232455149,-0.11089769128487509,0,-0.24757861096602993,-0.014484802075007377
delta_bp__z,60 衝撃(z 得点),1s,99,-0.17872227757022088,-0.1838627299008013,0,-0.29505488827560744,-0.032441220294941786
delta_bp__z,60 衝撃(z 得点),10s,99,-0.12066974972585011,-0.10972949495375597,0,-0.22670724755195812,-0.02080845833680544
obi1__x__rv_10s,70 交互作用,1s,99,-0.15182526292763188,-0.14918342981233526,0,-0.2714382125410429,-0.0003049223394598611
obi1__x__rv_10s,70 交互作用,10s,99,-0.09042149044567065,-0.08456360035820475,1,-0.181992629299381,0.0014499786902761296
obi1__dev,63 平均回帰,1s,99,-0.14722549656473732,-0.14958282080415905,0,-0.2515773819492369,-0.022343897048921483
obi1__dev,63 平均回帰,10s,99,-0.09949710619847386,-0.09252302460887235,0,-0.22062630812401982,-0.0013721883750286935
micro_bid__dev,63 平均回帰,1s,99,-0.14615116907140616,-0.14999651190042254,0,-0.2484054848820926,-0.018005120720097138
micro_bid__dev,63 平均回帰,10s,99,-0.09926225337854266,-0.08941340324208902,0,-0.20663343517405913,-0.0019117808339206691
obi1__z,60 衝撃(z 得点),1s,99,-0.14650024221693594,-0.14975236592487293,0,-0.25118095640569965,-0.018280205662700742
obi1__z,60 衝撃(z 得点),10s,99,-0.09951895439644914,-0.09453246470860459,0,-0.2102636082790803,-0.0012600015681414926
micro_bid__z,60 衝撃(z 得点),1s,99,-0.14129743778542378,-0.1439530357180662,0,-0.24256895348603896,-0.014598945712071381
micro_bid__z,60 衝撃(z 得点),10s,99,-0.0961453334135016,-0.0863046824925207,0,-0.20196250317095354,-0.006689754891079266
mp_mom,2.1 マイクロプライス,1s,99,-0.1390077043103121,-0.13874785512376986,0,-0.23310039151433723,-0.04719976660354692
mp_mom,2.1 マイクロプライス,10s,99,-0.08096269184064549,-0.07891594329443646,0,-0.15741509329791434,-0.0032206364383580454
obi_not1,4 板の偏り OBI,1s,99,-0.13922431742082417,-0.1404509143918737,0,-0.2417461827029472,-0.001668815535257041
obi_not1,4 板の偏り OBI,10s,99,-0.09334861649307921,-0.08339114388828617,0,-0.20769959727716267,-0.0006620714527638015
obi1,4 板の偏り OBI,1s,99,-0.13922218461733724,-0.1404479304124507,0,-0.2417577727939673,-0.0016716217511093662
obi1,4 板の偏り OBI,10s,99,-0.09334939370780442,-0.08335477747054106,0,-0.20770542783487853,-0.000674815804229558
log_depth_ratio,4 板の偏り OBI,1s,99,-0.13922218522477564,-0.1404479304124507,0,-0.2417577727939673,-0.0016716217511093662
log_depth_ratio,4 板の偏り OBI,10s,99,-0.09334939058245123,-0.08335477747054106,0,-0.20770542783487853,-0.000674815804229558
delta_norm,2.1 マイクロプライス,1s,99,-0.13922404878745373,-0.14044657167799887,0,-0.24177588726978705,-0.0016735402615159127
delta_norm,2.1 マイクロプライス,10s,99,-0.09335263094768402,-0.08341738800789403,0,-0.207715106345027,-0.0006783065512090437
ask_micro,2.1 マイクロプライス,1s,99,0.14125138199798135,0.14443120588974231,99,0.016555300395421572,0.2501624833864396
ask_micro,2.1 マイクロプライス,10s,99,0.09700509323259532,0.09127076874359152,98,-0.013046026793023892,0.21439552948462973
