col,family,h,nday,mean,med,pos,worst,best
delta_bp__dev,63 平均回帰,1s,98,-0.20768512160174632,-0.20131011906458846,1,-0.3967073997535567,0.02971796371602655
delta_bp__dev,63 平均回帰,10s,98,-0.08237240619460581,-0.06152687973867029,14,-0.4361060313169066,0.0861619507129518
delta_bp__z,60 衝撃(z 得点),1s,98,-0.20698955098899055,-0.1978040098643898,1,-0.39333177530713614,0.02589754270448624
delta_bp__z,60 衝撃(z 得点),10s,98,-0.0818644108262259,-0.06163856957473102,12,-0.3990586701836267,0.08851084569006629
delta_bp__x__spread_bp,70 交互作用,1s,98,-0.2072973674228914,-0.2058623172289306,1,-0.3989010737210977,0.04425697551850747
delta_bp__x__spread_bp,70 交互作用,10s,98,-0.08133000247406016,-0.06618344230169124,14,-0.3696707392530182,0.10075048637999358
obi1__x__spread_bp,70 交互作用,1s,98,-0.20326971896760904,-0.19917441787878673,1,-0.39862932405994367,0.055522125032524246
obi1__x__spread_bp,70 交互作用,10s,98,-0.07758604693660573,-0.061401245884057876,16,-0.3719233890960307,0.10120066525600287
delta_bp,2.1 マイクロプライス,1s,98,-0.20326490693554553,-0.19917695282322528,1,-0.3986426532259393,0.05552840174387206
delta_bp,2.1 マイクロプライス,10s,98,-0.07757475605347218,-0.061401245884057876,16,-0.3719374926818323,0.10117809230505416
micro_bid__dev,63 平均回帰,1s,98,-0.15258865558455575,-0.13912853555820448,1,-0.3346168473998417,0.056757644871239674
micro_bid__dev,63 平均回帰,10s,98,-0.06298676686547569,-0.043792915339959,16,-0.39244737399357804,0.08491046701102505
mp_mom,2.1 マイクロプライス,1s,98,-0.15760433373969585,-0.15190173971960622,1,-0.3111009670757687,0.028783805686866507
mp_mom,2.1 マイクロプライス,10s,98,-0.057693482686301964,-0.05093621228112255,13,-0.19835422011733472,0.04705123188786354
micro_bid__z,60 衝撃(z 得点),1s,98,-0.1460485418649316,-0.13151440597463898,4,-0.3316435387200641,0.08552868676485537
micro_bid__z,60 衝撃(z 得点),10s,98,-0.058926309963264686,-0.03886471254492337,19,-0.3679375507384768,0.10101780908992954
obi1__x__rv_10s,70 交互作用,1s,98,-0.14744791281566236,-0.13994524432946248,10,-0.36551046526104997,0.12454921006624999
obi1__x__rv_10s,70 交互作用,10s,98,-0.04674079916914108,-0.04041145369436427,20,-0.2553619535899408,0.11642147545705508
delta_bp__d,61 加速と高次の動き,1s,98,-0.14426985460226266,-0.13530203643731514,0,-0.3510577821849011,-0.010971252967772611
delta_bp__d,61 加速と高次の動き,10s,98,-0.041116718855085686,-0.037137682124795526,16,-0.1707867295624149,0.05627534929188815
obi1__z,60 衝撃(z 得点),1s,98,-0.14292839952650258,-0.13234088190329693,10,-0.37246604541959216,0.13719368203298055
obi1__z,60 衝撃(z 得点),10s,98,-0.04778887295973642,-0.038737557813034576,24,-0.3662772579848963,0.10268121017736893
obi1__dev,63 平均回帰,1s,98,-0.14289526674880082,-0.1330927516040905,10,-0.36310194506355625,0.13573586688216205
obi1__dev,63 平均回帰,10s,98,-0.04769753936766856,-0.03740246186163966,26,-0.3700356133940839,0.10446692936702043
obi_sign,4 板の偏り OBI,1s,98,-0.13965576383567646,-0.1330239208419262,8,-0.31224670883681893,0.0989762429391887
obi_sign,4 板の偏り OBI,10s,98,-0.04874965734576247,-0.037676823144193704,20,-0.28056587535307187,0.10535558621621961
obi_not1,4 板の偏り OBI,1s,98,-0.13515057747386355,-0.1303884219073326,10,-0.3435087969151094,0.15435839335903762
obi_not1,4 板の偏り OBI,10s,98,-0.041396320415632626,-0.03765749126539491,23,-0.3246125820493809,0.1474347986226315
obi1,4 板の偏り OBI,1s,98,-0.13514202607254858,-0.1303874632045722,10,-0.34350239807935706,0.15437537966229523
obi1,4 板の偏り OBI,10s,98,-0.041398483548243575,-0.037562148597102316,23,-0.324734749040875,0.147384885726261
log_depth_ratio,4 板の偏り OBI,1s,98,-0.1351420355247668,-0.13038749223731658,10,-0.34350239807935706,0.15437539570177336
log_depth_ratio,4 板の偏り OBI,10s,98,-0.04139851071262894,-0.037562148597102316,23,-0.324734749040875,0.14738497436554207
delta_norm,2.1 マイクロプライス,1s,98,-0.13513695094194633,-0.13038720721871358,10,-0.3435015676114843,0.15438234969184136
delta_norm,2.1 マイクロプライス,10s,98,-0.04138204284280012,-0.037549104105045805,23,-0.3247576580999278,0.1473631464112541
