col,family,h,nday,mean,med,pos,worst,best
delta_bp__dev,63 平均回帰,1s,99,-0.2121151797462409,-0.23040382307899593,6,-0.45604399233011556,0.04107105210551687
delta_bp__dev,63 平均回帰,10s,99,-0.16020744720319985,-0.17374842146281932,17,-0.5263677448583346,0.08537671369512516
delta_bp__x__spread_bp,70 交互作用,1s,99,-0.21351176328106986,-0.22700366281031426,5,-0.4508285824829159,0.04681641076504236
delta_bp__x__spread_bp,70 交互作用,10s,99,-0.15930264727548338,-0.1749515542274977,16,-0.4989443379576144,0.07523278994239466
obi1__x__spread_bp,70 交互作用,1s,99,-0.2099817526547936,-0.22461049823561255,7,-0.4544652127179092,0.054097261542011894
obi1__x__spread_bp,70 交互作用,10s,99,-0.156454675164354,-0.16000040387976677,17,-0.5161282635474352,0.08367157271553202
delta_bp,2.1 マイクロプライス,1s,99,-0.20987610347331961,-0.22161507970829072,7,-0.4544824555865034,0.054097261542011894
delta_bp,2.1 マイクロプライス,10s,99,-0.15639714985085168,-0.16000040387976677,17,-0.5093017600224817,0.08367157271553202
delta_bp__z,60 衝撃(z 得点),1s,99,-0.21063264813464283,-0.2311180602149457,5,-0.45436519574888895,0.038059639271237504
delta_bp__z,60 衝撃(z 得点),10s,99,-0.15779563300344762,-0.15424815319086838,17,-0.5315449317605172,0.07305515241508467
micro_bid__dev,63 平均回帰,1s,99,-0.16363477021154782,-0.17459885339811995,10,-0.37074079088650086,0.059624733395073466
micro_bid__dev,63 平均回帰,10s,99,-0.12512923324024375,-0.13998374783468256,16,-0.4548085452688552,0.09422374271887221
obi1__x__rv_10s,70 交互作用,1s,99,-0.17564049846889435,-0.21586206384632986,16,-0.4081865449911112,0.09232202743904308
obi1__x__rv_10s,70 交互作用,10s,99,-0.12380990316105188,-0.1366326441350965,20,-0.5091273121659922,0.1193683226583659
mp_mom,2.1 マイクロプライス,1s,99,-0.16331742078258144,-0.17993710153817474,3,-0.3290801637740158,0.01992085189367067
mp_mom,2.1 マイクロプライス,10s,99,-0.11677716537427403,-0.10645284341756586,12,-0.476860637352336,0.06428338272120081
micro_bid__z,60 衝撃(z 得点),1s,99,-0.15967617100023115,-0.17347736845469,11,-0.367476374720978,0.05815484896824626
micro_bid__z,60 衝撃(z 得点),10s,99,-0.12102806413107546,-0.12882521258961036,16,-0.4658326275986567,0.08360934423859008
obi1__dev,63 平均回帰,1s,99,-0.1622471416242288,-0.18521568115315792,16,-0.38860428896547,0.0883280487882908
obi1__dev,63 平均回帰,10s,99,-0.1218343203145821,-0.1247206924550851,20,-0.49091279015640615,0.09238306311239372
obi1__z,60 衝撃(z 得点),1s,99,-0.16079659943473437,-0.18459162670145665,16,-0.3888771786616241,0.0866599639639229
obi1__z,60 衝撃(z 得点),10s,99,-0.12066080934969817,-0.116818325610098,21,-0.5026130070771931,0.08917242479670906
obi_sign,4 板の偏り OBI,1s,99,-0.15786891340389403,-0.17827378625705412,13,-0.3724014926150312,0.07458698795455612
obi_sign,4 板の偏り OBI,10s,99,-0.11718700700006682,-0.1194010060746112,17,-0.45353461725650707,0.06225142374511948
delta_bp__d,61 加速と高次の動き,1s,99,-0.15037621301411677,-0.15827930662752507,4,-0.32311270268628883,0.014726309873621229
