col,family,h,nday,mean,med,pos,worst,best
delta_bp__z,60 衝撃(z 得点),1s,98,-0.22989022226352654,-0.2163560388164848,0,-0.42550561625414257,-0.07049740754874058
delta_bp__z,60 衝撃(z 得点),10s,98,-0.193966010061215,-0.20509156186592145,2,-0.4103841817766286,0.007237123697069657
delta_bp__dev,63 平均回帰,1s,98,-0.23248860010268002,-0.2153580290449571,0,-0.43582382104976386,-0.07344330367667795
delta_bp__dev,63 平均回帰,10s,98,-0.19636363609839713,-0.20572306131955484,2,-0.41723478863821384,0.0031352903140102043
obi1__x__spread_bp,70 交互作用,1s,98,-0.22383408896220788,-0.1944452922693175,1,-0.42966965078411745,0.017919377859669842
obi1__x__spread_bp,70 交互作用,10s,98,-0.1920032089392442,-0.20531563413323595,2,-0.4228545805113042,0.0074975220818244825
delta_bp,2.1 マイクロプライス,1s,98,-0.22380823407548467,-0.19436856624287435,1,-0.42966974354962,0.017919377859669842
delta_bp,2.1 マイクロプライス,10s,98,-0.19197104876272397,-0.2053117297356296,2,-0.42289556936451295,0.0075055966440557755
obi1__x__rv_10s,70 交互作用,1s,98,-0.20054869210128295,-0.185643545121387,0,-0.39637903404067015,-0.0232522226471863
obi1__x__rv_10s,70 交互作用,10s,98,-0.14749119131329608,-0.15732290999800866,5,-0.3653045365889434,0.024082767109298554
delta_bp__x__spread_bp,70 交互作用,1s,98,-0.2246384656054641,-0.19254710383641113,1,-0.4287957258411319,0.010235214907825982
delta_bp__x__spread_bp,70 交互作用,10s,98,-0.19322074569761927,-0.20192743284385178,2,-0.41966705907963514,0.004613946645320908
obi1__dev,63 平均回帰,1s,98,-0.19874993541234265,-0.17751028745997216,0,-0.3877273612329119,-0.0160096236862007
obi1__dev,63 平均回帰,10s,98,-0.16401045371399062,-0.17902217390908876,5,-0.3761243804456849,0.024290770985073068
obi1__z,60 衝撃(z 得点),1s,98,-0.19761460382396429,-0.17161334947888232,0,-0.3848040363766607,-0.017210453458779997
obi1__z,60 衝撃(z 得点),10s,98,-0.1626444370088393,-0.1733007065815921,5,-0.38039233984267906,0.023387858786478897
micro_bid__z,60 衝撃(z 得点),1s,98,-0.1839904952961504,-0.1674132229638242,0,-0.3625863449458223,-0.05656666107684384
micro_bid__z,60 衝撃(z 得点),10s,98,-0.1556268069704782,-0.17182157450063024,1,-0.3449402375362548,0.029377662454796567
micro_bid__dev,63 平均回帰,1s,98,-0.18811404528196574,-0.1724374854335129,0,-0.3728687061254479,-0.05527718719327331
micro_bid__dev,63 平均回帰,10s,98,-0.15972669574229573,-0.170973425949908,1,-0.35132271992556624,0.016383063056282215
mp_mom,2.1 マイクロプライス,1s,98,-0.17864299692705193,-0.1651874232636772,0,-0.33043547456590366,-0.03607308525657636
mp_mom,2.1 マイクロプライス,10s,98,-0.13466179965431982,-0.14668847189836065,2,-0.296129679687581,0.012108665252795402
obi_not1,4 板の偏り OBI,1s,98,-0.18372630797811879,-0.16610152560794061,1,-0.3778749924993526,0.09591527071182047
obi_not1,4 板の偏り OBI,10s,98,-0.15126691732799527,-0.15563407060073742,5,-0.3777415603093209,0.03383273122321201
log_depth_ratio,4 板の偏り OBI,1s,98,-0.18370367702328047,-0.16591747709041135,1,-0.3778822444347419,0.09592378673004671
log_depth_ratio,4 板の偏り OBI,10s,98,-0.15123325835768434,-0.15489782723145168,5,-0.3777437764249483,0.03383458816915031
obi1,4 板の偏り OBI,1s,98,-0.18370365214213763,-0.16591747709041135,1,-0.3778822444347419,0.0959317976988674
obi1,4 板の偏り OBI,10s,98,-0.15123329765831348,-0.15490109688731715,5,-0.3777437764249483,0.033835994633989924
delta_norm,2.1 マイクロプライス,1s,98,-0.18368135751639714,-0.16591753890789174,1,-0.3778814700217956,0.0959317976988674
delta_norm,2.1 マイクロプライス,10s,98,-0.15120717747685655,-0.15505629157135853,5,-0.37776808786539556,0.03383266086600427
delta_bp__d,61 加速と高次の動き,1s,98,-0.1779028958085969,-0.1717330415798392,0,-0.3854751096733326,-0.04022555861953564
delta_bp__d,61 加速と高次の動き,10s,98,-0.09396007358236792,-0.09327803588161826,6,-0.30313167363201327,0.046092849229504775
obi_sign,4 板の偏り OBI,1s,98,-0.1723150287423196,-0.15452657408984927,0,-0.3449988098258751,-0.039681091156849424
obi_sign,4 板の偏り OBI,10s,98,-0.14404718656413823,-0.1577247734579424,6,-0.34459743335402016,0.027298409749393866
d_obi,4 板の偏り OBI,1s,98,-0.16993187400424353,-0.16685321503609185,1,-0.3883375712394141,0.008334096960772468
d_obi,4 板の偏り OBI,10s,98,-0.08718372985249871,-0.08930140309558403,8,-0.3028157117327656,0.0796532517606106
obi1__d,61 加速と高次の動き,1s,98,-0.16993187400424353,-0.16685321503609185,1,-0.3883375712394141,0.008334096960772468
obi1__d,61 加速と高次の動き,10s,98,-0.08718372985249871,-0.08930140309558403,8,-0.3028157117327656,0.0796532517606106
micro_bid__d,61 加速と高次の動き,1s,98,-0.1596076153040638,-0.15577931958907462,0,-0.3866466690508168,-0.03641151526960122
micro_bid__d,61 加速と高次の動き,10s,98,-0.08602300849179093,-0.08314532155975708,5,-0.30801028441633665,0.01350321209142422
mret_500ms,2.1 マイクロプライス,1s,98,-0.13682965100907582,-0.13375081143720544,1,-0.3385096224296449,0.02117830460184585
mret_500ms,2.1 マイクロプライス,10s,98,-0.06499112991192493,-0.0599334570290876,15,-0.29393677349247094,0.04646435106294013
ask_micro,2.1 マイクロプライス,1s,98,0.16764948577128563,0.15236872099547077,97,-0.05520169883909897,0.33314956892102565
ask_micro,2.1 マイクロプライス,10s,98,0.1460195052279381,0.13648718855975117,94,-0.0556011997497245,0.36571107455414403
micro_bid,2.1 マイクロプライス,1s,98,-0.1644570221698608,-0.14290433055955146,1,-0.33113751057678603,0.11401439113207097
micro_bid,2.1 マイクロプライス,10s,98,-0.1351537660653612,-0.14713127490695735,4,-0.3309851509317433,0.039465804642180836
mret_1s,2.1 マイクロプライス,1s,98,-0.12485840313373385,-0.13050755136263403,5,-0.40462268606195445,0.03521007043261073
mret_1s,2.1 マイクロプライス,10s,98,-0.06802456338379341,-0.058726876310170435,13,-0.3436017970590003,0.04398653748485258
ask_sz,1.1 最良気配,1s,98,0.12323881598590893,0.11785480630246697,97,-0.20554238160201782,0.2510133740497003
ask_sz,1.1 最良気配,10s,98,0.09844281901763992,0.10114896894923969,90,-0.032072182404665285,0.24698266924772258
bid_sz,1.1 最良気配,1s,98,-0.12106865698330603,-0.10724477552434653,2,-0.25688373537381726,0.06465504934622238
bid_sz,1.1 最良気配,10s,98,-0.09978447759230108,-0.10010673507654466,6,-0.289101758418556,0.03042691664171149
delta_bp__dd,61 加速と高次の動き,1s,98,-0.0975674959468272,-0.09131312892965769,0,-0.21041434845499019,-0.0074235805034598475
delta_bp__dd,61 加速と高次の動き,10s,98,-0.043052684547387095,-0.043558741767522745,14,-0.16849132156033353,0.03789339730849233
obi_streak,62 慣性,1s,98,-0.10286447105647416,-0.0878361542691644,1,-0.23011318426350186,0.16231934186439667
obi_streak,62 慣性,10s,98,-0.09590569333062143,-0.0937934730620152,8,-0.28390667503309475,0.034569502407840624
micro_bid__dd,61 加速と高次の動き,1s,98,-0.08300382553009338,-0.07823320392665442,0,-0.1999652094293628,-0.0071235152790612
micro_bid__dd,61 加速と高次の動き,10s,98,-0.037558540167957524,-0.03236768422767871,15,-0.16528480541882648,0.04991073353641182
mret_5s,2.1 マイクロプライス,1s,98,-0.09061932186522406,-0.09494247945179593,10,-0.33823688722020284,0.039118925722193755
mret_5s,2.1 マイクロプライス,10s,98,-0.06487799058532923,-0.053779573852753275,26,-0.3353676700305648,0.08354994445914113
mret_10s,2.1 マイクロプライス,1s,98,-0.07243582143585224,-0.07297169433342068,12,-0.3225148060315014,0.02882360020043218
mret_10s,2.1 マイクロプライス,10s,98,-0.062938862361505,-0.05074326329478203,29,-0.34106770132062,0.07804342285770258
trd_imb_30s,51 約定の符号,1s,98,0.03226797997808989,0.03202432108918697,87,-0.024450475328252168,0.09730340604993885
trd_imb_30s,51 約定の符号,10s,98,0.05808492104795034,0.05079670339664626,80,-0.042131162448106066,0.19411207227828944
