col,family,h,nday,mean,med,pos,worst,best
delta_bp__x__spread_bp,70 交互作用,1s,99,-0.16203894102637395,-0.17118314990839095,9,-0.31444689751767896,0.0384363649193789
delta_bp__x__spread_bp,70 交互作用,10s,99,-0.06822517656672727,-0.07387137900486415,23,-0.26471436842053486,0.10419480360936959
delta_bp__dev,63 平均回帰,1s,99,-0.16075095684584653,-0.17037670059058715,9,-0.3128701189646769,0.05450231981506901
delta_bp__dev,63 平均回帰,10s,99,-0.06818246915374208,-0.07181794743255808,21,-0.2676974511944372,0.07097323828000465
delta_bp,2.1 マイクロプライス,1s,99,-0.15714690854485108,-0.1682569939333995,10,-0.31261671821395076,0.052036330407995615
delta_bp,2.1 マイクロプライス,10s,99,-0.06429372264611079,-0.06829835303081591,25,-0.26981118778857205,0.10683558997654695
obi1__x__spread_bp,70 交互作用,1s,99,-0.1571443914910492,-0.16825636128271867,10,-0.3126369104460814,0.052036330407995615
obi1__x__spread_bp,70 交互作用,10s,99,-0.06429037855601286,-0.06831529090984224,25,-0.2698126421927539,0.10683734174007134
delta_bp__z,60 衝撃(z 得点),1s,99,-0.15958557457224898,-0.1687528307322266,8,-0.3099951621927287,0.051213953274382946
delta_bp__z,60 衝撃(z 得点),10s,99,-0.06761135207561554,-0.06821837920361115,19,-0.23973666632137702,0.06875896391699912
micro_bid__dev,63 平均回帰,1s,99,-0.12192895224696083,-0.13492931704276845,10,-0.2628661513218521,0.06510492982014081
micro_bid__dev,63 平均回帰,10s,99,-0.050540062330360486,-0.05149915957556458,23,-0.22810506852819296,0.07119808508042913
mp_mom,2.1 マイクロプライス,1s,99,-0.1261280957734855,-0.13560409578991753,5,-0.23535245985229436,0.03221710986790703
mp_mom,2.1 マイクロプライス,10s,99,-0.04871578178772877,-0.04407936609456696,16,-0.20436488252062743,0.056962252042655606
obi1__x__rv_10s,70 交互作用,1s,99,-0.12215439801611694,-0.1340330828406356,12,-0.2613835533433864,0.07751393497795324
obi1__x__rv_10s,70 交互作用,10s,99,-0.04429278355032346,-0.049738703061277215,29,-0.2024875830480162,0.05713872518712328
delta_bp__d,61 加速と高次の動き,1s,99,-0.1171485486887547,-0.12603041150906763,4,-0.23533640524030933,0.010722456910425655
delta_bp__d,61 加速と高次の動き,10s,99,-0.03331771210540498,-0.03156833877564264,19,-0.15654319418583862,0.03582323503842618
micro_bid__z,60 衝撃(z 得点),1s,99,-0.11732215477391006,-0.12625102521705467,10,-0.2584464780956573,0.06951346149160142
micro_bid__z,60 衝撃(z 得点),10s,99,-0.04647584651489405,-0.049291812187862466,27,-0.2081028334714835,0.07506124489127808
obi1__z,60 衝撃(z 得点),1s,99,-0.11514276617398242,-0.12778740550371115,12,-0.2569688003714579,0.09956912541949312
obi1__z,60 衝撃(z 得点),10s,99,-0.0419995642985697,-0.04361335083935251,31,-0.20233322931016406,0.0785854124818066
