dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1469198,-5.706172523205488,5.8273969880165915,-1.9283968,42872
1,1422893,-3.164575425986804,5.485162974306571,-1.8297886,39155
2,1449278,-1.996847605298946,5.385440198498839,-1.8209033,39036
3,1483728,-1.118486439195543,5.3347379034432185,-1.7288593,39442
4,1523228,-0.34491219786936256,5.378577599676476,-1.7903594,41051
5,1524983,0.4015600890650006,5.307928022804188,-1.7510314,40456
6,1491802,1.179681573175717,5.298558387775321,-1.7174255,39523
7,1457537,2.0713550601669795,5.337017173491994,-1.7841328,39084
8,1419695,3.269183259635433,5.426728980520465,-1.806302,38416
9,1464318,5.796724512561191,5.6495925065457095,-1.8942798,41141
