dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1571985,-4.278845336904702,11.163783369434187,-3.1867785,91437
1,1538989,-2.282955418775323,6.979387117126894,-1.9786384,53249
2,1571027,-1.4160285592268451,5.7724023839182905,-1.6584065,44602
3,1591766,-0.7997773419021748,5.104896071407481,-1.5029473,40126
4,1614890,-0.27155135258860597,4.643969558298088,-1.4946312,37027
5,1611967,0.22963225394523334,4.3520742049930305,-1.4071587,34748
6,1601075,0.7633308944710038,4.1127992130287465,-1.259513,32706
7,1574916,1.3824925058081305,4.041866359856653,-1.1725247,31631
8,1546482,2.2452432442765513,4.083073711818178,-1.1379764,31475
9,1561833,4.323487370507806,4.48741958967444,-0.7945571,34287
