dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1342319,-5.778046624995703,7.681184576840527,-1.4210737,49506
1,1301252,-3.2181093045324793,7.286674679462549,-1.4320486,46172
2,1334001,-2.0456888785114202,7.177206014088446,-1.3685784,47273
3,1365966,-1.157617904974373,7.105813761103863,-1.3798748,48170
4,1403692,-0.3872670834037528,7.116803401315957,-1.3010665,49629
5,1411437,0.3557761528805159,7.084411135601518,-1.3393098,50260
6,1379813,1.1362036261397535,7.078133051362758,-1.3203586,49288
7,1349527,2.0257521709776682,7.156136927975505,-1.3367944,48955
8,1312724,3.2091607989515047,7.3772552341543225,-1.3615693,49488
9,1341969,5.748194652053229,7.79891338771611,-1.3469193,54423
