dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1441855,-4.218907238286995,14.44645959545169,-2.5021186,110294
1,1413975,-2.244349183806449,9.220955108824413,-1.537515,65744
2,1452235,-1.3787714254087646,7.687736488929134,-1.3262297,55892
3,1474364,-0.764363733325446,6.816634155473139,-1.1555704,50049
4,1493103,-0.23528045467902103,6.258108114443544,-1.0961958,46391
5,1492833,0.270759300051715,5.9249092162351715,-1.0200481,43978
6,1473541,0.8114355869093259,5.6510134431278125,-0.95800257,41439
7,1448442,1.4332857920784647,5.553346285180904,-0.81960917,39633
8,1418273,2.3081092502952316,5.609145770948189,-0.76087415,38274
9,1435804,4.441026948125426,6.108215327440235,-0.30751342,40056
