group,lag_ms,asym,lo,hi,n_days
全体,100,0.08359459467738047,0.07016157457070404,0.09709235949969627,28
全体,200,-0.00007948961487999914,-0.008081318373475777,0.008509857616292117,28
全体,300,-0.010170041113517948,-0.014580586073368111,-0.005608501883948576,28
全体,400,-0.0010482715571155355,-0.00458033048131511,0.001963129191787209,28
全体,500,0.0010305461666670832,-0.001737442914376006,0.0038568777792685497,28
全体,600,-0.0032534646906328753,-0.006039282619032107,-0.00027225201719515525,28
全体,700,-0.004171146483431425,-0.007233012307267043,-0.0015337699498226998,28
全体,800,-0.0026959965210607956,-0.006035012731893232,0.000598448920745812,28
全体,900,-0.0032661730834659926,-0.005481172298134303,-0.0013875747568242373,28
全体,1000,-0.0018826557867319433,-0.0036590032212977116,-0.0001519139464969451,28
全体,1100,-0.003225475002719479,-0.0063867211094045225,-0.0007159506432943723,28
全体,1200,-0.0023251814762480266,-0.0055190712848368255,0.0010452296367065893,28
全体,1300,-0.0005084569552134137,-0.002886222935481441,0.0022333800795232383,28
全体,1400,0.0013962278188541265,-0.0002041240259663613,0.003174445969695116,28
全体,1500,-0.002139138733652933,-0.003787404239355163,-0.0005997590455707019,28
全体,1600,0.0002543375773445365,-0.0014575602037871752,0.0019734033904494964,28
全体,1700,-0.001293130912876689,-0.0031402203367862204,0.0006540766084427423,28
全体,1800,0.0000275946490598838,-0.001390810651121789,0.0016308775543376099,28
全体,1900,-0.0013586408118657495,-0.0034811593731705957,0.0005772521126725901,28
全体,2000,0.0007844105305154366,-0.0016469603975708459,0.003231594417207249,28
00-08 夜,100,0.04663606264877659,0.03437320173991373,0.05859524746160589,26
00-08 夜,200,-0.02233612055750121,-0.029572319883993378,-0.014596133932400107,26
00-08 夜,300,-0.022719489200533908,-0.028604917927578903,-0.01686870899932234,26
00-08 夜,400,-0.010630207452845883,-0.015956258046353936,-0.005807507653091032,26
00-08 夜,500,-0.009303919057678614,-0.01298395139550698,-0.005349837872826395,26
00-08 夜,600,-0.009967266241492688,-0.014597287337870173,-0.005381485939601136,26
00-08 夜,700,-0.008980468307503616,-0.012247322788735505,-0.00586903218772872,26
00-08 夜,800,-0.004272791357162188,-0.00786449247016421,0.00016947109063396846,26
00-08 夜,900,-0.00428988130276999,-0.007407623690088446,-0.0012951926137467098,26
00-08 夜,1000,-0.005968494945109334,-0.008926908565645948,-0.003328616486611878,26
00-08 夜,1100,-0.006528283159275294,-0.010536383477110363,-0.0033719283155937948,26
00-08 夜,1200,-0.0019557500007566578,-0.005277618729888662,0.0022737012637100715,26
00-08 夜,1300,-0.0010942900103856042,-0.004421136300385839,0.0028261820101589514,26
00-08 夜,1400,-0.0009060789748851823,-0.004014434457785343,0.0026685424407941454,26
00-08 夜,1500,-0.002638839286803148,-0.004969172930087643,-0.0005442725292850068,26
00-08 夜,1600,-0.0015284717341573707,-0.003910985210397535,0.0011933232731896426,26
00-08 夜,1700,-0.0009813610964178974,-0.0031209805880498607,0.0011909627949852509,26
00-08 夜,1800,-0.0019640866777625087,-0.004454332349715011,0.00018677281931576896,26
00-08 夜,1900,-0.0015584524149297849,-0.004123294562167026,0.0007096831697089255,26
00-08 夜,2000,-0.000941280342718003,-0.0038490813530211005,0.0016227930999128768,26
08-13.5 プレ,100,0.07689565400299567,0.053892067957222234,0.09632776765156278,27
08-13.5 プレ,200,-0.007482110947809768,-0.018846873843366432,0.004134011091721197,27
08-13.5 プレ,300,-0.014589092847359665,-0.022957289092769704,-0.007731171187851998,27
08-13.5 プレ,400,0.0022720255536203835,-0.004282430617279394,0.008559027029221046,27
08-13.5 プレ,500,-0.0011735543930764926,-0.006944996296790554,0.0036011715295708,27
08-13.5 プレ,600,-0.003118691118901553,-0.006636224822323766,0.000782086095074078,27
08-13.5 プレ,700,-0.003465323548818683,-0.006823218857897207,-0.00037404501930025707,27
08-13.5 プレ,800,-0.0030040783593773546,-0.005741153772539363,-0.00038114875296327825,27
08-13.5 プレ,900,-0.002714738163811315,-0.005718868856655088,-0.00006998356190466749,27
08-13.5 プレ,1000,-0.0021643909407960842,-0.004773037272489269,0.00026454755882729446,27
08-13.5 プレ,1100,-0.0011407650928745702,-0.003665023398786635,0.0010422731377255168,27
08-13.5 プレ,1200,-0.0034397587600760774,-0.007444069207717634,-0.00011516604999468007,27
08-13.5 プレ,1300,0.0005286889878605152,-0.0012998697579856494,0.0024709028267898103,27
08-13.5 プレ,1400,0.00017237960333407003,-0.0017561373734132021,0.002046813685966831,27
08-13.5 プレ,1500,-0.001065562318090908,-0.00316333431671253,0.0011083137235798571,27
08-13.5 プレ,1600,-0.002218394841139029,-0.0061401286206990875,0.0007869288504595394,27
08-13.5 プレ,1700,-0.002667420852960106,-0.004953352718849443,-0.00035396386985884457,27
08-13.5 プレ,1800,0.00183645211358248,0.0002696506493088225,0.003431069213247576,27
08-13.5 プレ,1900,-0.001928869333116835,-0.003903302053865045,-0.00023697126440405596,27
08-13.5 プレ,2000,-0.0019857588499466914,-0.005740274241706932,0.0010988173952506022,27
13.5-20 現物,100,0.1093779150000245,0.08945023647048124,0.12873978145544002,27
13.5-20 現物,200,0.01708479815957584,0.0035345555961226144,0.03117263088658388,27
13.5-20 現物,300,0.00008716326748783377,-0.006341604647915994,0.006774248358891868,27
13.5-20 現物,400,0.002290238410624167,-0.004306660522758283,0.008243908492978813,27
13.5-20 現物,500,0.0059053328055559025,0.0022688901328155836,0.010092428665304454,27
13.5-20 現物,600,-0.0020996452738882066,-0.005351010805870876,0.0016910496981240503,27
13.5-20 現物,700,-0.002468244784167629,-0.005966992447107061,0.0006639504536768912,27
13.5-20 現物,800,-0.0025215750307108482,-0.007136149732978521,0.0012933171202258887,27
13.5-20 現物,900,-0.0036177620643493146,-0.006380070466547714,-0.0009379715663667028,27
13.5-20 現物,1000,0.0017086845086536125,-0.001430789806211381,0.00548584617390467,27
13.5-20 現物,1100,-0.002533820015160196,-0.0073274403299169915,0.0010867108571483237,27
13.5-20 現物,1200,-0.0016566575248876962,-0.00387094828065068,0.0006315340023242929,27
13.5-20 現物,1300,-0.0018184079979574536,-0.005071922262141843,0.0012001204438845013,27
13.5-20 現物,1400,0.0009468991296721671,-0.0013193805537424703,0.003234917217647496,27
13.5-20 現物,1500,-0.003066131435248828,-0.0062420875834519225,-0.00038834171281521267,27
13.5-20 現物,1600,0.00175626533602485,-0.0009488641857837152,0.0053982410364674,27
13.5-20 現物,1700,-0.00026488706495074254,-0.003416067161791157,0.0035325331362771055,27
13.5-20 現物,1800,-0.00165795417218958,-0.003937591708478764,0.0004445028361892046,27
13.5-20 現物,1900,0.00029407520984577377,-0.002490307977006128,0.002592917429778232,27
13.5-20 現物,2000,0.0014570443226416207,-0.0018101539022389909,0.0049649983833103956,27
20-24 アフター,100,0.08461165294024117,0.0699655531127407,0.0998611842698368,26
20-24 アフター,200,-0.006004375794213434,-0.015308400548876203,0.004249557397940289,26
20-24 アフター,300,-0.017043629234141634,-0.02279182639506506,-0.011554728301493886,26
20-24 アフター,400,-0.006389946728760075,-0.011117746721135262,-0.0019553310282558866,26
20-24 アフター,500,-0.003988793279750761,-0.010635947672119086,0.00190801326279598,26
20-24 アフター,600,-0.003626120213603553,-0.0088603628597018,0.002020576938651565,26
20-24 アフター,700,-0.000048539852485751516,-0.007108812595755177,0.00860110740034235,26
20-24 アフター,800,-0.0032106046189966184,-0.006749407211689415,0.0004462669565402403,26
20-24 アフター,900,-0.005632685280944792,-0.0080460542938716,-0.002931287628724657,26
20-24 アフター,1000,-0.003524107306560331,-0.006483622171664878,-0.00008202924268848393,26
20-24 アフター,1100,-0.000288213067332242,-0.0029203840911980823,0.0026955341597023736,26
20-24 アフター,1200,-0.006642000692945993,-0.009935942871539009,-0.002953205719832821,26
20-24 アフター,1300,-0.003030812144906837,-0.005766949644028397,-0.00017331644186751086,26
20-24 アフター,1400,-0.0006151033219345613,-0.00337195609248694,0.0021978561235358064,26
20-24 アフター,1500,-0.003516206854314162,-0.005996042693563544,-0.0012408459472984616,26
20-24 アフター,1600,-0.0014665303583762067,-0.00406629393683734,0.0009658642977343812,26
20-24 アフター,1700,-0.0028713451267397636,-0.00529811631699545,-0.0007949214960836894,26
20-24 アフター,1800,-0.0032695218307203225,-0.007166418613639153,0.0005317138916171444,26
20-24 アフター,1900,-0.0013943304381319028,-0.003951924061923327,0.001082656169517329,26
20-24 アフター,2000,-0.0005044089937567462,-0.003924486112220738,0.002934153357599007,26
