dt,ok,n_lgt,n_bnc,gz_bad,usable_pct,lgt_fresh_pct,bnc_fresh_pct,lgt_move_pct,bnc_move_pct,lgt_lat_ms_p50,bnc_lat_ms_p50
2026-08-18,true,824718,6108555,7,43.96226851851851,62.24131944444444,45.37280092592593,48.29451813160486,22.72650684246276,-29.9568,-29.177
2026-08-19,true,1508587,13165719,0,99.02152777777778,99.11701388888889,99.89201388888888,54.39403608923424,26.079135429304795,-34.8521,-34.6261
2026-08-20,true,1716633,12256097,0,97.74085648148149,98.06493055555555,99.14085648148148,51.408142989599526,21.74199301109202,-76.5624,-76.7817
2026-08-21,true,1262710,8564276,0,96.10162037037037,96.83877314814815,99.02256944444444,43.54680977649527,17.831722303984737,-74.3127,-73.3008
2026-08-22,true,265118,1099868,2,68.4125,75.14409722222221,87.82638888888889,17.37959410168436,3.228475140589155,-59.08355,-59.19675
2026-08-23,true,351978,1515660,20,77.34606481481482,83.2125,90.55983796296296,20.361380878986036,3.7070345818306967,-57.40145,-57.5766
2026-08-24,true,1394345,8955733,0,97.40138888888889,97.96539351851851,99.27604166666667,48.983421028865855,17.690850670431157,-67.1097,-66.3068
2026-08-25,true,1275326,8782970,0,97.09212962962962,97.59560185185185,99.19594907407408,50.235791702230124,17.494480709902298,-62.2109,-62.5701
2026-08-26,true,1188998,6603205,0,98.65150462962963,98.95925925925926,99.66435185185185,48.00932481882421,15.76161877353056,-59.0591,-61.2352
2026-08-27,true,1360926,7029953,0,97.20243055555555,97.69918981481482,99.42523148148148,50.00958528462341,16.885223063266448,-59.5189,-62.8074
2026-08-28,true,1413613,7479127,14,91.60312499999999,92.82766203703704,95.49988425925926,47.21062959046106,15.510878121323998,-63.4033,-64.7769
2026-08-29,true,124779,823987,0,55.98807870370371,59.71944444444445,85.78645833333334,11.443821746114107,1.4421059377306265,-54.8231,-55.9578
2026-08-30,true,270676,1691594,0,68.65300925925925,74.01076388888889,89.13784722222222,16.828960722365895,3.472407200730997,-66.4934,-67.7461
2026-08-31,true,1254679,6648922,0,88.60601851851851,89.94988425925926,90.97569444444444,45.73904456368966,11.682750837299949,-69.5896,-69.6225
2026-09-01,true,1397488,7804237,0,98.08032407407407,98.16828703703703,99.87523148148149,50.04236418090803,13.802108532547255,-71.8473,-70.5258
2026-09-02,true,1169509,6150276,0,97.81493055555556,97.97858796296296,99.753125,43.008160961566446,11.678801023758728,-70.9165,-69.1171
2026-09-03,true,1148036,6099835,2,92.68668981481481,92.975,99.09502314814816,41.032800416576656,12.435362562795559,-66.9897,-66.5921
2026-09-04,true,1065704,6219954,36,90.22847222222222,90.71585648148148,96.94398148148147,36.84781688460621,13.633215063611665,-57.23,-56.5237
2026-09-05,true,148364,874447,1,50.25115740740741,53.455671296296295,84.671875,9.828177902664855,3.087730612432918,-61.0386,-62.0866
2026-09-06,true,232333,1120788,0,61.67152777777778,64.84363425925926,83.38564814814815,13.63312201365508,3.735816621062153,-63.8446,-64.836
2026-09-07,true,524984,2425353,0,82.22118055555555,84.1363425925926,95.37164351851852,23.55730858076749,5.5895978411888665,-61.5098,-62.2468
2026-09-08,true,1457157,8161264,44,97.20486111111111,97.42939814814815,99.68599537037038,46.25016371971185,17.046377329284994,-62.2006,-60.9159
2026-09-09,true,277952,952349,11,26.66018518518519,26.68715277777778,26.858333333333334,42.1322022713854,8.337095821901157,-64.388,-62.1027
2026-09-10,true,863889,5605823,3,53.629513888888894,53.79409722222223,55.25428240740741,51.00084383814709,18.628752220200752,242.608,241.3738
2026-09-11,true,1474943,7296832,0,94.42349537037038,95.06689814814816,98.7767361111111,46.346064506955585,13.715297143116304,427.4584,429.329
2026-09-12,true,182625,607751,0,54.68587962962963,60.55891203703704,85.82847222222222,12.624924336382454,1.3708342681052983,423.6819,423.5355
2026-09-13,true,572110,2074237,16,73.07719907407407,76.00300925925926,86.90219907407408,23.991466406498706,4.762847508738697,422.69455,423.5535
2026-09-14,true,1258353,5396548,23,63.131134259259255,63.5425925925926,63.383912037037035,52.15866444954928,16.19937923157449,409.6328,411.8922
